Location,Cleaned Location,Latitude,Longitude,Error
"2333 N 49TH ST,MKE","2333 N 49TH ST, MILWAUKEE, WI",43.061433,-87.975516,False
"749 W STATE ST,MKE","749 W STATE ST, MILWAUKEE, WI",43.042662,-87.920879,False
"3006 S 27TH ST,MKE","3006 S 27TH ST, MILWAUKEE, WI",42.990377,-87.947407,False
"E WELLS ST / N JEFFERSON ST,MKE","E WELLS ST & N JEFFERSST, MILWAUKEE, WI",43.041185,-87.90678199999998,False
"245 W LINCOLN AV,MKE","245 W LINCOLN AV, MILWAUKEE, WI",43.002354,-87.913504,False
"N 8TH ST / W CLARKE ST,MKE","N 8TH ST & W CLARKE ST, MILWAUKEE, WI",43.06577100000001,-87.921464,False
"2031 W KEEFE AV,MKE","2031 W KEEFE AV, MILWAUKEE, WI",43.082232,-87.93804,False
"350 N PLANKINTON AV,MKE","350 N PLANKINTAV, MILWAUKEE, WI",43.034331,-87.91083,False
"4342 N 76TH ST,MKE","4342 N 76TH ST, MILWAUKEE, WI",43.096351,-88.006573,False
"3722 N 76TH ST,MKE","3722 N 76TH ST, MILWAUKEE, WI",43.085029,-88.00674599999998,False
"9114 W SILVER SPRING DR,MKE","9114 W SILVER SPRING DR, MILWAUKEE, WI",43.119855,-88.02637,False
"132 S 78TH ST,MKE","132 S 78TH ST, MILWAUKEE, WI",43.030656,-88.009384,False
"8708 W VILLARD AV,MKE","8708 W VILLARD AV, MILWAUKEE, WI",43.112542,-88.02186800000001,False
"545 W LAYTON AV,MKE","545 W LAYTAV, MILWAUKEE, WI",43.011264,-87.958409,False
"1747 N HUMBOLDT AV,MKE","1747 N HUMBOLDT AV, MILWAUKEE, WI",43.05390300000001,-87.898235,False
"N 36TH ST / W AUER AV,MKE","N 36TH ST & W AUER AV, MILWAUKEE, WI",43.077014,-87.958488,False
"N JEFFERSON ST / E WELLS ST,MKE","N JEFFERSST & E WELLS ST, MILWAUKEE, WI",43.011264,-87.958409,False
"E BUFFALO ST / N JACKSON ST,MKE","E BUFFALO ST & N JACKSST, MILWAUKEE, WI",43.033768,-87.906021,False
4500 W BURLIEGH ST,"4500 W BURLIEGH ST, MILWAUKEE, WI",43.075454,-87.96998,False
"8546 W APPLETON AV,MKE","8546 W APPLETAV, MILWAUKEE, WI",43.011264,-87.958409,False
"6970 N RAINTREE CT,MKE","6970 N RAINTREE CT, MILWAUKEE, WI",43.143536,-87.983058,False
"2117 N 42ND ST,MKE","2117 N 42ND ST, MILWAUKEE, WI",43.05783,-87.965962,False
"1969 W VILLARD AV,MKE","1969 W VILLARD AV, MILWAUKEE, WI",43.111355,-87.935761,False
"2601 W STATE ST,MKE","2601 W STATE ST, MILWAUKEE, WI",43.042981,-87.94640600000002,False
"2836 W WELLS ST,MKE","2836 W WELLS ST, MILWAUKEE, WI",43.040426,-87.949921,False
"4713 W BURLEIGH ST,MKE","4713 W BURLEIGH ST, MILWAUKEE, WI",43.074941,-87.972646,False
"4302 N 76TH ST,MKE","4302 N 76TH ST, MILWAUKEE, WI",43.095546,-88.00658100000003,False
"2132 W NATIONAL AV,MKE","2132 W NATIONAL AV, MILWAUKEE, WI",43.02292,-87.940248,False
"949 N 9TH ST,MKE","949 N 9TH ST, MILWAUKEE, WI",43.041733,-87.923662,False
"4829 N 40TH ST,MKE","4829 N 40TH ST, MILWAUKEE, WI",43.105308,-87.962972,False
"1524 S LAYTON BL,MKE","1524 S LAYTBL, MILWAUKEE, WI",43.011264,-87.958409,False
"2829 W HAMPTON AV,MKE","2829 W HAMPTAV, MILWAUKEE, WI",43.011264,-87.958409,False
"2207 W VILLARD AV,MKE","2207 W VILLARD AV, MILWAUKEE, WI",43.109956,-87.938518,False
"3620 N SHERMAN BL,MKE","3620 N SHERMAN BL, MILWAUKEE, WI",43.08368400000001,-87.966564,False
"5015 N 24TH ST,MKE","5015 N 24TH ST, MILWAUKEE, WI",43.108669,-87.94183199999998,False
"3901 N 6TH ST,MKE","3901 N 6TH ST, MILWAUKEE, WI",43.088368,-87.918686,False
"3926 N SHERMAN BL,MKE","3926 N SHERMAN BL, MILWAUKEE, WI",43.088506,-87.966498,False
"3956 N 88TH ST,MKE","3956 N 88TH ST, MILWAUKEE, WI",43.089072,-88.02220600000003,False
"8548 W APPLETON AV,MKE","8548 W APPLETAV, MILWAUKEE, WI",43.011264,-87.958409,False
"2426 N FARWELL AV,MKE","2426 N FARWELL AV, MILWAUKEE, WI",43.061891,-87.883326,False
"2426 N PROSPECT AV,MKE","2426 N PROSPECT AV, MILWAUKEE, WI",43.060459,-87.88333399999998,False
"100 W BROWN ST,MKE","100 W BROWN ST, MILWAUKEE, WI",43.056654,-87.911367,False
"9200 W SILVER SPRING DR,MKE","9200 W SILVER SPRING DR, MILWAUKEE, WI",43.119356,-88.02724,False
"2919 W VILLARD AV,MKE","2919 W VILLARD AV, MILWAUKEE, WI",43.111692,-87.949526,False
"3600 W ROOSEVELT DR,MKE","3600 W ROOSEVELT DR, MILWAUKEE, WI",43.089167,-87.958361,False
"1300 W COLLEGE AV,MKE","1300 W COLLEGE AV, MILWAUKEE, WI",42.930804,-87.93011700000002,False
"1008 W CHAMBERS ST,MKE","1008 W CHAMBERS ST, MILWAUKEE, WI",43.073318,-87.924279,False
"4756 N 51ST BL,MKE","4756 N 51ST BL, MILWAUKEE, WI",43.103822,-87.97625699999998,False
"6309 W PORT AV,MKE","6309 W PORT AV, MILWAUKEE, WI",43.158375,-87.989403,False
"4295 N TEUTONIA AV,MKE","4295 N TEUTONIA AV, MILWAUKEE, WI",43.095051,-87.942125,False
"S 6TH ST / W BECHER ST,MKE","S 6TH ST & W BECHER ST, MILWAUKEE, WI",43.006472,-87.918697,False
"E RUSSELL AV / S PINE AV,MKE","E RUSSELL AVE & S PINE AV, MILWAUKEE, WI",42.995653,-87.899238,False
"S LAYTON BL / W GREENFIELD AV,MKE","S LAYTBL & W GREENFIELD AV, MILWAUKEE, WI",43.011264,-87.958409,False
"2401 S HOWELL AV,MKE","2401 S HOWELL AV, MILWAUKEE, WI",43.000852,-87.905061,False
"1560 S 7TH ST,MKE","1560 S 7TH ST, MILWAUKEE, WI",43.01466,-87.91930699999998,False
"8914 W APPLETON AV,MKE","8914 W APPLETAV, MILWAUKEE, WI",43.011264,-87.958409,False
"5065 N HOPKINS ST,MKE","5065 N HOPKINS ST, MILWAUKEE, WI",43.10938,-87.962497,False
"5460 N 92ND ST,MKE","5460 N 92ND ST, MILWAUKEE, WI",43.116997,-88.027049,False
"369 E OKLAHOMA AV,MKE","369 E OKLAHOMA AV, MILWAUKEE, WI",42.987947,-87.904792,False
"722 E BURLEIGH ST,MKE","722 E BURLEIGH ST, MILWAUKEE, WI",43.074905,-87.901797,False
"4318 N 15TH ST,MKE","4318 N 15TH ST, MILWAUKEE, WI",43.095379,-87.92896,False
"927 N 27TH ST,MKE","927 N 27TH ST, MILWAUKEE, WI",43.042213,-87.947983,False
"4672 N 40TH ST,MKE","4672 N 40TH ST, MILWAUKEE, WI",43.102288,-87.962304,False
"2402 W WELLS ST,MKE","2402 W WELLS ST, MILWAUKEE, WI",43.04039,-87.94291199999998,False
"2762 S QUINCY AV,MKE","2762 S QUINCY AV, MILWAUKEE, WI",42.994228,-87.901209,False
"4756 N 36TH ST,MKE","4756 N 36TH ST, MILWAUKEE, WI",43.103735,-87.95782700000002,False
"4062 N 71ST ST,MKE","4062 N 71ST ST, MILWAUKEE, WI",43.09137800000001,-88.000221,False
"3869 S 84TH ST,MKE","3869 S 84TH ST, MILWAUKEE, WI",42.974045,-88.01818100000001,False
"6713 W BLUE MOUND RD,WAU","6713 W BLUE MOUND RD,WAU, MILWAUKEE, WI",43.03575900000001,-87.99613599999998,False
"600 W HOLT AV,MKE","600 W HOLT AV, MILWAUKEE, WI",42.982661,-87.901484,False
"5501 N 76TH ST,MKE","5501 N 76TH ST, MILWAUKEE, WI",43.117756,-88.00653299999998,False
"4709 N 41ST ST,MKE","4709 N 41ST ST, MILWAUKEE, WI",43.102813,-87.964146,False
"9100 W TOWNSEND ST,MKE","9100 W TOWNSEND ST, MILWAUKEE, WI",43.080704,-88.026627,False
"3207 N 36TH ST,MKE","3207 N 36TH ST, MILWAUKEE, WI",43.077206,-87.958725,False
"2908 E HAMPSHIRE ST,MKE","2908 E HAMPSHIRE ST, MILWAUKEE, WI",43.075758,-87.874011,False
"4082 N ELMHURST RD,MKE","4082 N ELMHURST RD, MILWAUKEE, WI",43.0914,-87.960219,False
"817 S 23RD ST,MKE","817 S 23RD ST, MILWAUKEE, WI",43.021957,-87.942565,False
"3151 N 24TH PL,MKE","3151 N 24TH PL, MILWAUKEE, WI",43.076265,-87.943802,False
"2217 S KINNICKINNIC AV,MKE","2217 S KINNICKINNIC AV, MILWAUKEE, WI",43.004021,-87.905428,False
"4816 N 49TH ST,MKE","4816 N 49TH ST, MILWAUKEE, WI",43.105075,-87.973764,False
"3450 N 37TH ST,MKE","3450 N 37TH ST, MILWAUKEE, WI",43.082235,-87.959162,False
"918 W WRIGHT ST,MKE","918 W WRIGHT ST, MILWAUKEE, WI",43.064117,-87.922876,False
"700-BLK N JEFFERSON ST,MKE","700- N JEFFERSST, MILWAUKEE, WI",43.011264,-87.958409,False
"S CHASE AV / E OKLAHOMA AV,MKE","S CHASE AVE & E OKLAHOMA AV, MILWAUKEE, WI",42.986467,-87.90943,False
"3500 W CLYBOURN ST,MKE","3500 W CLYBOURN ST, MILWAUKEE, WI",43.041514,-87.957684,False
"3927 W VILLARD AV,MKE","3927 W VILLARD AV, MILWAUKEE, WI",43.111676,-87.96215600000002,False
"1114 N WATER ST,MKE","1114 N WATER ST, MILWAUKEE, WI",43.044977,-87.910521,False
"1818 W ATKINSON AV,MKE","1818 W ATKINSAV, MILWAUKEE, WI",43.088447,-87.933351,False
"2500 W CENTER ST,MKE","2500 W CENTER ST, MILWAUKEE, WI",43.067731,-87.944918,False
"N SHERMAN BL / W CAPITOL DR,MKE","N SHERMAN BL & W CAPITOL DR, MILWAUKEE, WI",43.011264,-87.958409,False
"2335 S KINNICKINNIC AV,MKE","2335 S KINNICKINNIC AV, MILWAUKEE, WI",43.002168,-87.903902,False
"2206 W KEEFE AV,MKE","2206 W KEEFE AV, MILWAUKEE, WI",43.082626,-87.939885,False
"N EDISON ST / E JUNEAU AV,MKE","N EDISST & E JUNEAU AV, MILWAUKEE, WI",43.011264,-87.958409,False
"933 W HIGHLAND AV,MKE","933 W HIGHLAND AV, MILWAUKEE, WI",43.043989,-87.923514,False
"2929 N HOLTON ST,MKE","2929 N HOLTST, MILWAUKEE, WI",43.011264,-87.958409,False
"N CRAMER ST / E LOCUST ST,MKE","N CRAMER ST & E LOCUST ST, MILWAUKEE, WI",43.071013,-87.886673,False
"9130 W HAMPTON AV,MKE","9130 W HAMPTAV, MILWAUKEE, WI",43.011264,-87.958409,False
"W THURSTON AV / N 60TH ST,MKE","W THURSTAV & N 60TH ST, MILWAUKEE, WI",43.011264,-87.958409,False
"1823 W HOPKINS ST,MKE","1823 W HOPKINS ST, MILWAUKEE, WI",43.074521,-87.936184,False
"2822 N 5TH ST,MKE","2822 N 5TH ST, MILWAUKEE, WI",43.069807,-87.916162,False
"4416 W NORTH AV,MKE","4416 W NORTH AV, MILWAUKEE, WI",43.060863,-87.969382,False
"4409 W VILLARD AV,MKE","4409 W VILLARD AV, MILWAUKEE, WI",43.111665,-87.967997,False
"3734 W ROBERTS ST,MKE","3734 W ROBERTS ST, MILWAUKEE, WI",43.053499,-87.961014,False
"1563 S 13TH ST,MKE","1563 S 13TH ST, MILWAUKEE, WI",43.014632,-87.928309,False
"5007 W CENTER ST,MKE","5007 W CENTER ST, MILWAUKEE, WI",43.067811,-87.976261,False
"7600 W WATERFORD AV,MKE","7600 W WATERFORD AV, MILWAUKEE, WI",42.970182,-88.008063,False
"5718 N 62ND ST,MKE","5718 N 62ND ST, MILWAUKEE, WI",43.12166,-87.987965,False
"N 55TH ST / W FAIRMOUNT AV,MKE","N 55TH ST & W FAIRMOUNT AV, MILWAUKEE, WI",43.108356,-87.981305,False
"6300 N LITTLE MENOMONEE R PK,MKE","6300 N LITTLE MENOMONEE R PK, MILWAUKEE, WI",43.130882,-87.911204,False
"S 12TH ST / W BURNHAM ST,MKE","S 12TH ST & W BURNHAM ST, MILWAUKEE, WI",43.010157,-87.92700500000002,False
"1036 N 8TH ST,MKE","1036 N 8TH ST, MILWAUKEE, WI",43.043652,-87.919608,False
"3946 N 60TH ST,MKE","3946 N 60TH ST, MILWAUKEE, WI",43.089132,-87.986438,False
"3700 S 27TH ST,MKE","3700 S 27TH ST, MILWAUKEE, WI",42.977068,-87.947204,False
"2805 N BREMEN ST,MKE","2805 N BREMEN ST, MILWAUKEE, WI",43.069473,-87.900628,False
"3943 N 60TH ST,MKE","3943 N 60TH ST, MILWAUKEE, WI",43.088912,-87.98710799999998,False
"3300 S CHASE AV,MKE","3300 S CHASE AV, MILWAUKEE, WI",42.984799,-87.909447,False
"1116 W WASHINGTON ST,MKE","1116 W WASHINGTST, MILWAUKEE, WI",43.020424,-87.925911,False
"1851 N OAKLAND AV,MKE","1851 N OAKLAND AV, MILWAUKEE, WI",43.055591,-87.89173000000002,False
"N 66TH ST / W CAPITOL DR,MKE","N 66TH ST & W CAPITOL DR, MILWAUKEE, WI",43.089951,-87.994603,False
"3425 W OKLAHOMA AV,MKE","3425 W OKLAHOMA AV, MILWAUKEE, WI",42.98815,-87.95758599999998,False
"1899 N 6TH ST,MKE","1899 N 6TH ST, MILWAUKEE, WI",43.055188,-87.91869200000002,False
"8554 W APPLETON AV,MKE","8554 W APPLETAV, MILWAUKEE, WI",43.011264,-87.958409,False
"3407 N 8TH ST,MKE","3407 N 8TH ST, MILWAUKEE, WI",43.080351,-87.92144499999998,False
"3205 N 14TH ST,MKE","3205 N 14TH ST, MILWAUKEE, WI",43.076919,-87.928924,False
"1225 W OLIVE ST,MKE","1225 W OLIVE ST, MILWAUKEE, WI",43.093442,-87.926087,False
"1569 S 10TH ST,MKE","1569 S 10TH ST, MILWAUKEE, WI",43.014513,-87.92434399999998,False
"N 22ND ST / W WRIGHT ST,MKE","N 22ND ST & W WRIGHT ST, MILWAUKEE, WI",43.064157,-87.940038,False
"2853 N 39TH ST,MKE","2853 N 39TH ST, MILWAUKEE, WI",43.07084,-87.962395,False
"5105 S HOWELL AV,MKE","5105 S HOWELL AV, MILWAUKEE, WI",42.95143,-87.91137900000003,False
"4623 N 24TH ST,MKE","4623 N 24TH ST, MILWAUKEE, WI",43.101271,-87.941983,False
"3001 N 41ST ST,MKE","3001 N 41ST ST, MILWAUKEE, WI",43.073355,-87.96575899999998,False
"6900 W SHERIDAN AV,MKE","6900 W SHERIDAN AV, MILWAUKEE, WI",43.118371,-87.997309,False
"4401 N GREEN BAY AV,MKE","4401 N GREEN BAY AV, MILWAUKEE, WI",43.0971,-87.92767099999998,False
"3969 N 74TH ST,MKE","3969 N 74TH ST, MILWAUKEE, WI",43.089584,-88.00525999999998,False
"2141 S 17TH ST,MKE","2141 S 17TH ST, MILWAUKEE, WI",43.005574,-87.934646,False
"S 1ST ST / W LAYTON AV,MKE","S 1ST ST & W LAYTAV, MILWAUKEE, WI",43.006509,-87.91139,False
"4135 N 6TH ST,MKE","4135 N 6TH ST, MILWAUKEE, WI",43.091779,-87.918502,False
"780 N JEFFERSON ST,MKE","780 N JEFFERSST, MILWAUKEE, WI",43.011264,-87.958409,False
"2515 N 9TH ST,MKE","2515 N 9TH ST, MILWAUKEE, WI",43.064365,-87.92303299999998,False
"6800 W SILVER SPRING DR,MKE","6800 W SILVER SPRING DR, MILWAUKEE, WI",43.119337,-87.996048,False
"N 35TH ST / W MELVINA ST,MKE","N 35TH ST & W MELVINA ST, MILWAUKEE, WI",43.087769,-87.957121,False
"3071 W BURLEIGH ST,MKE","3071 W BURLEIGH ST, MILWAUKEE, WI",43.075071,-87.951626,False
"800 W JUNEAU AV,MKE","800 W JUNEAU AV, MILWAUKEE, WI",43.046119,-87.921475,False
"N HOPKINS ST / W COURTLAND AV,MKE","N HOPKINS ST & W COURTLAND AV, MILWAUKEE, WI",43.102567,-87.95917299999998,False
"N SUMMIT AV / E HARTFORD AV,MKE","N SUMMIT AVE & E HARTFORD AV, MILWAUKEE, WI",43.077635,-87.87555400000002,False
"6400 N 60TH ST,MKE","6400 N 60TH ST, MILWAUKEE, WI",43.13419,-87.986154,False
"11800 W SILVER SPRING DR,MKE","11800 W SILVER SPRING DR, MILWAUKEE, WI",43.117763,-88.059907,False
"2346 N BREMEN ST,MKE","2346 N BREMEN ST, MILWAUKEE, WI",43.061213,-87.899979,False
"4000 W VILLARD AV,MKE","4000 W VILLARD AV, MILWAUKEE, WI",43.111795,-87.962468,False
"966 N 27TH ST,MKE","966 N 27TH ST, MILWAUKEE, WI",43.043058,-87.947372,False
"4380 N 15TH ST,MKE","4380 N 15TH ST, MILWAUKEE, WI",43.096637,-87.92889100000002,False
"N 35TH ST / W MC KINLEY BL,MKE","N 35TH ST & W MC KINLEY BL, MILWAUKEE, WI",43.047274,-87.957652,False
"4075 N TEUTONIA AV,MKE","4075 N TEUTONIA AV, MILWAUKEE, WI",43.09105200000001,-87.939971,False
"7251 W APPLETON AV,MKE","7251 W APPLETAV, MILWAUKEE, WI",43.011264,-87.958409,False
"7200 N TEUTONIA AV,MKE","7200 N TEUTONIA AV, MILWAUKEE, WI",43.148366,-87.956626,False
"1500 S LAYTON BL,MKE","1500 S LAYTBL, MILWAUKEE, WI",43.011264,-87.958409,False
"2057 W FOREST HOME AV,MKE","2057 W FOREST HOME AV, MILWAUKEE, WI",43.006099,-87.938829,False
"2532 N BARTLETT AV,MKE","2532 N BARTLETT AV, MILWAUKEE, WI",43.064622,-87.888807,False
"1968 N 21ST ST,MKE","1968 N 21ST ST, MILWAUKEE, WI",43.055836,-87.938739,False
"4500 S 5TH ST,MKE","4500 S 5TH ST, MILWAUKEE, WI",42.96265,-87.916995,False
"2700 W HOWARD AV,MKE","2700 W HOWARD AV, MILWAUKEE, WI",42.973784,-87.948332,False
"N BOOTH ST / E BURLEIGH ST,MKE","N BOOTH ST & E BURLEIGH ST, MILWAUKEE, WI",43.074742,-87.903993,False
"N SHEPARD AV / E HARTFORD AV,MKE","N SHEPARD AVE & E HARTFORD AV, MILWAUKEE, WI",43.077635,-87.874421,False
"600 W EDGERTON AV,MKE","600 W EDGERTAV, MILWAUKEE, WI",43.011264,-87.958409,False
"N 24TH ST / W CAPITOL DR,MKE","N 24TH ST & W CAPITOL DR, MILWAUKEE, WI",43.087969,-87.942073,False
5500-BLK N 95TH,"5500- N 95TH, MILWAUKEE, WI",43.011264,-87.958409,False
"3252 N LAKE DR,MKE","3252 N LAKE DR, MILWAUKEE, WI",43.076788,-87.87019000000002,False
"3500 W SILVER SPRING DR,MKE","3500 W SILVER SPRING DR, MILWAUKEE, WI",43.119486,-87.956405,False
"3827 N 11TH ST,MKE","3827 N 11TH ST, MILWAUKEE, WI",43.087158,-87.924944,False
"5123 W VILLARD AV,MKE","5123 W VILLARD AV, MILWAUKEE, WI",43.111677,-87.97666,False
D4,"D4, MILWAUKEE, WI",43.011264,-87.958409,False
"E JUNEAU AV / N PROSPECT AV,MKE","E JUNEAU AVE & N PROSPECT AV, MILWAUKEE, WI",43.045679,-87.897561,False
"1720 S 29TH ST,MKE","1720 S 29TH ST, MILWAUKEE, WI",43.01193,-87.949698,False
"N 27TH ST / W NORTH AV,MKE","N 27TH ST & W NORTH AV, MILWAUKEE, WI",43.059193,-87.94753,False
"2900 S 60TH ST,MKE","2900 S 60TH ST, MILWAUKEE, WI",42.991874,-87.987114,False
"N MARTIN L KING JR DR / W CLARKE ST,MKE","N DOCTOR M.L.K. DR & W CLARKE ST, MILWAUKEE, WI",43.011264,-87.958409,False
"1224 N PROSPECT AV,MKE","1224 N PROSPECT AV, MILWAUKEE, WI",43.046236,-87.895976,False
"9026 W BROWN DEER RD,MKE","9026 W BROWN DEER RD, MILWAUKEE, WI",43.17820800000001,-88.02374499999998,False
"6207 W PORT AV,MKE","6207 W PORT AV, MILWAUKEE, WI",43.157662,-87.98814,False
"N 34TH ST / W GARFIELD AV,MKE","N 34TH ST & W GARFIELD AV, MILWAUKEE, WI",43.059239,-87.956335,False
"2624 N 37TH ST,MKE","2624 N 37TH ST, MILWAUKEE, WI",43.066659,-87.95939200000002,False
"8200 W BROWN DEER RD,MKE","8200 W BROWN DEER RD, MILWAUKEE, WI",43.178387,-88.01222800000002,False
"2028 W MITCHELL ST,MKE","2028 W MITCHELL ST, MILWAUKEE, WI",43.01265,-87.939136,False
"9000 W SILVER SPRING DR,MKE","9000 W SILVER SPRING DR, MILWAUKEE, WI",43.119893,-88.02464599999998,False
"4260 N 27TH ST,MKE","4260 N 27TH ST, MILWAUKEE, WI",43.094087,-87.946431,False
"2000 W LAYTON AV,MKE","2000 W LAYTAV, MILWAUKEE, WI",43.011264,-87.958409,False
"N 92ND ST / W CONGRESS ST,MKE","N 92ND ST & W CONGRESS ST, MILWAUKEE, WI",43.096979,-88.027642,False
"6325 N 76TH ST,MKE","6325 N 76TH ST, MILWAUKEE, WI",43.132899,-88.006237,False
"6330 W SILVER SPRING DR,MKE","6330 W SILVER SPRING DR, MILWAUKEE, WI",43.119711,-87.99061800000001,False
"N 27TH ST / W BURLEIGH ST,MKE","N 27TH ST & W BURLEIGH ST, MILWAUKEE, WI",43.073388,-87.947316,False
"1906 N 2ND ST,MKE","1906 N 2ND ST, MILWAUKEE, WI",43.055407,-87.912216,False
"1000 W LAYTON AV,MKE","1000 W LAYTAV, MILWAUKEE, WI",43.011264,-87.958409,False
"1600 W OHIO AV,MKE","1600 W OHIO AV, MILWAUKEE, WI",42.984586,-87.933848,False
"4000 W KINNICKINNIC RIVER PK,MKE","4000 W KINNICKINNIC RIVER PK, MILWAUKEE, WI",42.997572,-87.964214,False
"6938 N RAINTREE DR,MKE","6938 N RAINTREE DR, MILWAUKEE, WI",43.143692,-87.984148,False
"7528 N 41ST ST,MKE","7528 N 41ST ST, MILWAUKEE, WI",43.154206,-87.962062,False
"3618 N 53RD ST,MKE","3618 N 53RD ST, MILWAUKEE, WI",43.083502,-87.978359,False
"3245 S 27TH ST,MKE","3245 S 27TH ST, MILWAUKEE, WI",42.98588400000001,-87.948565,False
"2347 S 16TH ST,MKE","2347 S 16TH ST, MILWAUKEE, WI",43.001858,-87.933705,False
"5135 W HASSEL LA,MKE","5135 W HASSEL LA, MILWAUKEE, WI",43.138136,-87.976557,False
"2800 S AUSTIN ST,MKE","2800 S AUSTIN ST, MILWAUKEE, WI",42.993414,-87.906631,False
"5010 N 91ST ST,MKE","5010 N 91ST ST, MILWAUKEE, WI",43.109139,-88.024293,False
"9001 N 75TH ST,MKE","9001 N 75TH ST, MILWAUKEE, WI",43.181838,-88.003091,False
"4753 N 48TH ST,MKE","4753 N 48TH ST, MILWAUKEE, WI",43.103813,-87.973465,False
"2407 W ORCHARD ST,MKE","2407 W ORCHARD ST, MILWAUKEE, WI",43.015848,-87.943706,False
"2709 N 46TH ST,MKE","2709 N 46TH ST, MILWAUKEE, WI",43.068178,-87.97144399999998,False
"4300 W LOCUST ST,MKE","4300 W LOCUST ST, MILWAUKEE, WI",43.0717,-87.967184,False
"8334 W APPLETON AV,MKE","8334 W APPLETAV, MILWAUKEE, WI",43.011264,-87.958409,False
"W APPLETON AV / W KEEFE AVENUE PK,MKE","W APPLETAV & W KEEFE AVENUE PK, MILWAUKEE, WI",43.011264,-87.958409,False
"1215 W LAYTON AV,MKE","1215 W LAYTAV, MILWAUKEE, WI",43.011264,-87.958409,False
"2625 W NATIONAL AV,MKE","2625 W NATIONAL AV, MILWAUKEE, WI",43.021839,-87.946988,False
"3100 W FOREST HOME AV,MKE","3100 W FOREST HOME AV, MILWAUKEE, WI",42.997773,-87.952989,False
"4733 N 49TH ST,MKE","4733 N 49TH ST, MILWAUKEE, WI",43.103378,-87.974654,False
"200 W PLEASANT ST,MKE","200 W PLEASANT ST, MILWAUKEE, WI",43.052853000000006,-87.91322199999998,False
