,ID,Call Number,Date/Time,Location,Police District,Nature of Call,Status,Cleaned_Location,Coordinates,Error_Logging
35,182552926-Unable to Locate Complainant,182552926,2018-09-12 23:44:33,"S 25TH ST / W NATIONAL AV,MKE",2,TRBL W/SUBJ,Unable to Locate Complainant,"S 25TH ST & W NATIONAL AV,MILWAUKEE","{'lat': 43.022353, 'lng': -87.945008}",
36,182552974-Assignment Completed,182552974,2018-09-12 23:44:25,"6929 W SILVER SPRING DR,MKE",4,OUT OF SERVICE,Assignment Completed,"6929 W SILVER SPRING DR,MILWAUKEE","{'lat': 43.118893, 'lng': -87.998216}",
37,182552951-Unable to Locate Complainant,182552951,2018-09-12 23:31:24,"3600 W DOUGLAS AV,MKE",4,SHOTS FIRED,Unable to Locate Complainant,"3600 W DOUGLAS AV,MILWAUKEE","{'lat': 43.131767, 'lng': -87.957409}",
38,182552985-Advised,182552985,2018-09-12 23:54:11,"2750 W BURLEIGH ST,MKE",5,TRAFFIC STOP,Advised,"2750 W BURLEIGH ST,MILWAUKEE","{'lat': 43.075378, 'lng': -87.947826}",
39,182552953-Service in Progress,182552953,2018-09-12 23:54:05,"2764 N 57TH ST,MKE",7,SUBJ WITH WEAPON,Service in Progress,"2764 N 57TH ST,MILWAUKEE","{'lat': 43.069446, 'lng': -87.983868}",
40,182552959-Advised,182552959,2018-09-12 23:52:31,"3145 S 12TH ST,MKE",6,SUSPICIOUS-OTH,Advised,"3145 S 12TH ST,MILWAUKEE","{'lat': 42.987155, 'lng': -87.927855}",
41,182552958-Service in Progress,182552958,2018-09-12 23:51:57,"4720 W EGGERT PL,MKE",7,TRBL W/SUBJ-DV,Service in Progress,"4720 W EGGERT PL,MILWAUKEE","{'lat': 43.111176, 'lng': -87.971972}",
42,182552914-Advised,182552914,2018-09-12 23:51:33,"S 9TH ST / W ARTHUR AV,MKE",2,NOISE NUISANCE,Advised,"S 9TH ST & W ARTHUR AV,MILWAUKEE","{'lat': 42.999203, 'lng': -87.922488}",
43,182552945-No Prosecution,182552945,2018-09-12 23:59:40,"N 11TH ST / W ABERT PL,MKE",5,CRUELTY ANIMAL,No Prosecution,"N 11TH ST & W ABERT PL,MILWAUKEE","{'lat': 43.086569, 'lng': -87.924706}",
44,182552992-Assignment Completed,182552992,2018-09-12 23:59:23,"749 W STATE ST,MKE",1,RETURN STATION,Assignment Completed,"749 W STATE ST,MILWAUKEE","{'lat': 43.042662, 'lng': -87.920879}",
45,182552991-Assignment Completed,182552991,2018-09-12 23:59:08,"350 N PLANKINTON AV,MKE",1,BUSINESS CHECK,Assignment Completed,"350 N PLANKINTAV,MILWAUKEE","{'lat': 43.034331, 'lng': -87.91083}",
46,182552989-Service in Progress,182552989,2018-09-12 23:58:19,"245 W LINCOLN AV,MKE",2,RETURN STATION,Service in Progress,"245 W LINCOLN AV,MILWAUKEE","{'lat': 43.002354, 'lng': -87.913504}",
47,182552987-Advised,182552987,2018-09-12 23:57:56,"245 W LINCOLN AV,MKE",2,RETURN STATION,Advised,"245 W LINCOLN AV,MILWAUKEE","{'lat': 43.002354, 'lng': -87.913504}",
48,182552981-Unable to Locate Complainant,182552981,2018-09-12 23:57:08,"100-BLK W CLARKE ST,MKE",5,CALL FOR POLICE,Unable to Locate Complainant,"100- W CLARKE ST,MILWAUKEE","{'lat': 43.065558, 'lng': -87.911093}",
49,182552919-Advised,182552919,2018-09-12 23:56:27,"4236 N 47TH ST,MKE",7,GAMBLING,Advised,"4236 N 47TH ST,MILWAUKEE","{'lat': 43.094403, 'lng': -87.971168}",
50,182552958-Advised/Referral,182552958,2018-09-12 23:51:57,"4720 W EGGERT PL,MKE",7,TRBL W/SUBJ-DV,Advised/Referral,"4720 W EGGERT PL,MILWAUKEE","{'lat': 43.111176, 'lng': -87.971972}",
51,182552936-Assignment Completed,182552936,2018-09-12 23:24:53,"815 W MEINECKE AV,MKE",3,FIRE,Assignment Completed,"815 W MEINECKE AV,MILWAUKEE","{'lat': 43.061948, 'lng': -87.921944}",
52,182552920-Assignment Completed,182552920,2018-09-12 23:11:29,"2418 S 13TH ST,MKE",2,NOTIFICATION,Assignment Completed,"2418 S 13TH ST,MILWAUKEE","{'lat': 43.000802, 'lng': -87.928073}",
53,182552905-Assignment Completed,182552905,2018-09-12 23:03:10,"200 W WALKER ST,MKE",2,PARK AND WALK,Assignment Completed,"200 W WALKER ST,MILWAUKEE","{'lat': 43.022008, 'lng': -87.912636}",
54,182552928-Service in Progress,182552928,2018-09-13 00:04:09,"3522 N 85TH ST,MKE",7,TRBL W/SUBJ-DV,Service in Progress,"3522 N 85TH ST,MILWAUKEE","{'lat': 43.08305, 'lng': -88.018413}",
55,182560004-Service in Progress,182560004,2018-09-13 00:03:05,"4600 N 38TH ST,MKE",7,SHOTSPOTTER,Service in Progress,"4600 N 38TH ST,MILWAUKEE","{'lat': 43.100865, 'lng': -87.959963}",
56,182552988-Service in Progress,182552988,2018-09-13 00:02:42,"2640 N 36TH ST,MKE",3,SHOTSPOTTER,Service in Progress,"2640 N 36TH ST,MILWAUKEE","{'lat': 43.066981, 'lng': -87.958207}",
57,182560001-Unable to Locate Complainant,182560001,2018-09-13 00:02:30,"3515 W HADLEY ST,MKE",7,SHOTSPOTTER,Unable to Locate Complainant,"3515 W HADLEY ST,MILWAUKEE","{'lat': 43.069155, 'lng': -87.957909}",
58,182560003-Service in Progress,182560003,2018-09-13 00:01:10,"2836 N 26TH ST,MKE",5,SHOTSPOTTER,Service in Progress,"2836 N 26TH ST,MILWAUKEE","{'lat': 43.070519, 'lng': -87.94567}",
59,182552993-Service in Progress,182552993,2018-09-13 00:00:14,"3902 N 38TH ST,MKE",7,SHOTSPOTTER,Service in Progress,"3902 N 38TH ST,MILWAUKEE","{'lat': 43.087727, 'lng': -87.960357}",
60,182560002-Unable to Locate Complainant,182560002,2018-09-13 00:09:41,"2639 N 35TH ST,MKE",3,SHOTSPOTTER,Unable to Locate Complainant,"2639 N 35TH ST,MILWAUKEE","{'lat': 43.066983, 'lng': -87.95768}",
61,182552947-Service in Progress,182552947,2018-09-13 00:09:26,"2028 W MITCHELL ST,MKE",2,THEFT,Service in Progress,"2028 W MITCHELL ST,MILWAUKEE","{'lat': 43.01265, 'lng': -87.939136}",
62,182560017-Service in Progress,182560017,2018-09-13 00:09:22,"4115 N 56TH ST,MKE",7,RETURN STATION,Service in Progress,"4115 N 56TH ST,MILWAUKEE","{'lat': 43.091323, 'lng': -87.984621}",
63,182552982-Unable to Locate Complainant,182552982,2018-09-13 00:08:55,"E NORTH AV / N BREMEN ST,MKE",5,SUSP PERS/AUTO,Unable to Locate Complainant,"E NORTH AVE & N BREMEN ST,MILWAUKEE","{'lat': 43.060212, 'lng': -87.900442}",
64,182552990-Assignment Completed,182552990,2018-09-13 00:07:19,"2623 N 35TH ST,MKE",3,SHOTSPOTTER,Assignment Completed,"2623 N 35TH ST,MILWAUKEE","{'lat': 43.066655, 'lng': -87.957685}",
65,182560013-Service in Progress,182560013,2018-09-13 00:06:30,"8220 W HAMPTON AV,MKE",7,SUSP PERS/AUTO,Service in Progress,"8220 W HAMPTAV,MILWAUKEE","{'lat': 43.011264, 'lng': -87.958409}",
66,182560014-Assignment Completed,182560014,2018-09-13 00:05:48,"749 W STATE ST,MKE",1,POLICE ADMIN,Assignment Completed,"749 W STATE ST,MILWAUKEE","{'lat': 43.042662, 'lng': -87.920879}",
67,182560012-Service in Progress,182560012,2018-09-13 00:05:12,"3006 S 27TH ST,MKE",6,ASSIGNMENT,Service in Progress,"3006 S 27TH ST,MILWAUKEE","{'lat': 42.990377, 'lng': -87.947407}",
68,182560010-Unable to Locate Complainant,182560010,2018-09-13 00:05:01,"4576 N 38TH ST,MKE",7,SHOTSPOTTER,Unable to Locate Complainant,"4576 N 38TH ST,MILWAUKEE","{'lat': 43.100619, 'lng': -87.959967}",
69,182552993-Unable to Locate Complainant,182552993,2018-09-13 00:00:14,"3902 N 38TH ST,MKE",7,SHOTSPOTTER,Unable to Locate Complainant,"3902 N 38TH ST,MILWAUKEE","{'lat': 43.087727, 'lng': -87.960357}",
70,182560022-Unable to Locate Complainant,182560022,2018-09-13 00:14:09,"2031 S 13TH ST,MKE",2,SHOTSPOTTER,Unable to Locate Complainant,"2031 S 13TH ST,MILWAUKEE","{'lat': 43.00757, 'lng': -87.928582}",
71,182560016-Service in Progress,182560016,2018-09-13 00:14:02,"7879 N 60TH ST,MKE",4,FAMILY TROUBLE,Service in Progress,"7879 N 60TH ST,MILWAUKEE","{'lat': 43.161088, 'lng': -87.985672}",
72,182552929-Service in Progress,182552929,2018-09-13 00:13:54,"529 N 27TH ST,MKE",3,TRBL W/SUBJ,Service in Progress,"529 N 27TH ST,MILWAUKEE","{'lat': 43.037002, 'lng': -87.947877}",
73,182560023-Assignment Completed,182560023,2018-09-13 00:13:25,"245 W LINCOLN AV,MKE",2,RETURN STATION,Assignment Completed,"245 W LINCOLN AV,MILWAUKEE","{'lat': 43.002354, 'lng': -87.913504}",
74,182552979-Unable to Locate Complainant,182552979,2018-09-13 00:13:11,"N 15TH ST / W CHERRY ST,MKE",3,SUSP PERS/AUTO,Unable to Locate Complainant,"N 15TH ST & W CHERRY ST,MILWAUKEE","{'lat': 43.049944, 'lng': -87.931421}",
75,182560019-Assignment Completed,182560019,2018-09-13 00:12:22,"6929 W SILVER SPRING DR,MKE",4,POLICE ADMIN,Assignment Completed,"6929 W SILVER SPRING DR,MILWAUKEE","{'lat': 43.118893, 'lng': -87.998216}",
76,182560018-Assignment Completed,182560018,2018-09-13 00:12:03,"1251 S 30TH ST,MKE",2,SHOTS FIRED,Assignment Completed,"1251 S 30TH ST,MILWAUKEE","{'lat': 43.017906, 'lng': -87.951719}",
77,182560004-Unable to Locate Complainant,182560004,2018-09-13 00:03:05,"4600 N 38TH ST,MKE",7,SHOTSPOTTER,Unable to Locate Complainant,"4600 N 38TH ST,MILWAUKEE","{'lat': 43.100865, 'lng': -87.959963}",
78,182552989-Assignment Completed,182552989,2018-09-12 23:58:19,"245 W LINCOLN AV,MKE",2,RETURN STATION,Assignment Completed,"245 W LINCOLN AV,MILWAUKEE","{'lat': 43.002354, 'lng': -87.913504}",
79,182552965-Open Investigation,182552965,2018-09-12 23:44:33,"4622 S 20TH ST,MKE",6,ENTRY,Open Investigation,"4622 S 20TH ST,MILWAUKEE","{'lat': 42.96099, 'lng': -87.937207}",
80,182560031-Service in Progress,182560031,2018-09-13 00:19:36,"N 27TH ST / W STATE ST,MKE",3,TRAFFIC STOP,Service in Progress,"N 27TH ST & W STATE ST,MILWAUKEE","{'lat': 43.043247, 'lng': -87.947694}",
81,182560029-Advised/Referral,182560029,2018-09-13 00:19:22,"6611 N 52ND ST,MKE",4,BATTERY DV,Advised/Referral,"6611 N 52ND ST,MILWAUKEE","{'lat': 43.13789, 'lng': -87.977262}",
82,182560030-Assignment Completed,182560030,2018-09-13 00:19:11,"369 E OKLAHOMA AV,MKE",6,BUSINESS CHECK,Assignment Completed,"369 E OKLAHOMA AV,MILWAUKEE","{'lat': 42.987947, 'lng': -87.904792}",
83,182552786-Advised,182552786,2018-09-13 00:18:28,"2749 N 24TH ST,MKE",5,PROPERTY PICKUP,Advised,"2749 N 24TH ST,MILWAUKEE","{'lat': 43.068955, 'lng': -87.9427}",
84,182560008-Service in Progress,182560008,2018-09-13 00:17:41,"1919 N 17TH ST,MKE",3,TRBL W/SUBJ-DV,Service in Progress,"1919 N 17TH ST,MILWAUKEE","{'lat': 43.055305, 'lng': -87.934251}",
85,182560028-Assignment Completed,182560028,2018-09-13 00:17:16,"245 W LINCOLN AV,MKE",2,RETURN STATION,Assignment Completed,"245 W LINCOLN AV,MILWAUKEE","{'lat': 43.002354, 'lng': -87.913504}",
86,182560027-Advised,182560027,2018-09-13 00:16:45,"4245 N 47TH ST,MKE",7,NOISE NUISANCE,Advised,"4245 N 47TH ST,MILWAUKEE","{'lat': 43.094475, 'lng': -87.972501}",
87,182552986-Service in Progress,182552986,2018-09-13 00:16:11,"611 N BROADWAY,MKE",1,THEFT FROM PERSN,Service in Progress,"611 N BROADWAY,MILWAUKEE","{'lat': 43.037774, 'lng': -87.908039}",
88,182560025-Advised,182560025,2018-09-13 00:15:04,"N 27TH ST / W BOBOLINK AV,MKE",4,SUSP PERS/AUTO,Advised,"N 27TH ST & W BOBOLINK AV,MILWAUKEE","{'lat': 43.121476, 'lng': -87.946125}",
89,182560018-Advised,182560018,2018-09-13 00:12:03,"1251 S 30TH ST,MKE",2,SHOTS FIRED,Advised,"1251 S 30TH ST,MILWAUKEE","{'lat': 43.017906, 'lng': -87.951719}",
90,182560012-Assignment Completed,182560012,2018-09-13 00:05:12,"3006 S 27TH ST,MKE",6,ASSIGNMENT,Assignment Completed,"3006 S 27TH ST,MILWAUKEE","{'lat': 42.990377, 'lng': -87.947407}",
91,182552988-Unable to Locate Complainant,182552988,2018-09-13 00:02:42,"2640 N 36TH ST,MKE",3,SHOTSPOTTER,Unable to Locate Complainant,"2640 N 36TH ST,MILWAUKEE","{'lat': 43.066981, 'lng': -87.958207}",
92,182560046-Service in Progress,182560046,2018-09-13 00:24:47,"N JEFFERSON ST / E WELLS ST,MKE",1,PARK AND WALK,Service in Progress,"N JEFFERSST & E WELLS ST,MILWAUKEE","{'lat': 43.011264, 'lng': -87.958409}",
93,182560042-Service in Progress,182560042,2018-09-13 00:24:41,"N 91ST ST / W SILVER SPRING DR,MKE",4,RECKLESS VEHICLE,Service in Progress,"N 91ST ST & W SILVER SPRING DR,MILWAUKEE","{'lat': 43.119514, 'lng': -88.025883}",
94,182560045-Assignment Completed,182560045,2018-09-13 00:24:33,"2920 N 4TH ST,MKE",5,SPECIAL ASSIGN,Assignment Completed,"2920 N 4TH ST,MILWAUKEE","{'lat': 43.071738, 'lng': -87.914995}",
95,182560034-Unable to Locate Complainant,182560034,2018-09-13 00:24:03,"3145 N 25TH ST,MKE",5,SUSP PERS/AUTO,Unable to Locate Complainant,"3145 N 25TH ST,MILWAUKEE","{'lat': 43.0762, 'lng': -87.945047}",
96,182560040-Service in Progress,182560040,2018-09-13 00:23:32,"602 S 2ND ST,MKE",2,BUSINESS CHECK,Service in Progress,"602 S 2ND ST,MILWAUKEE","{'lat': 43.024908, 'lng': -87.911772}",
97,182560038-Service in Progress,182560038,2018-09-13 00:23:07,"3626 W FOND DU LAC AV,MKE",7,REPORTS,Service in Progress,"3626 W FOND DU LAC AV,MILWAUKEE","{'lat': 43.077239, 'lng': -87.959228}",
98,182560035-Assignment Completed,182560035,2018-09-13 00:21:50,"2920 N 4TH ST,MKE",5,POLICE ADMIN,Assignment Completed,"2920 N 4TH ST,MILWAUKEE","{'lat': 43.071738, 'lng': -87.914995}",
99,182560032-Unable to Locate Complainant,182560032,2018-09-13 00:21:35,"1216 E BRADY ST,MKE",1,RECKLESS VEHICLE,Unable to Locate Complainant,"1216 E BRADY ST,MILWAUKEE","{'lat': 43.053141, 'lng': -87.896172}",
100,182560009-Service in Progress,182560009,2018-09-13 00:20:52,"N 42ND ST / W TOWNSEND ST,MKE",7,ACC PDO,Service in Progress,"N 42ND ST & W TOWNSEND ST,MILWAUKEE","{'lat': 43.081105, 'lng': -87.965496}",
101,182552969-Service in Progress,182552969,2018-09-13 00:20:18,"9000 W WISCONSIN AV,MKE",3,BATTERY,Service in Progress,"9000 W WISCONSIN AV,MILWAUKEE","{'lat': 43.041116, 'lng': -88.024519}",
102,182560033-Unable to Locate Complainant,182560033,2018-09-13 00:20:05,"10200 W FOND DU LAC AV,MKE",4,SUBJ WANTED,Unable to Locate Complainant,"10200 W FOND DU LAC AV,MILWAUKEE","{'lat': 43.139246, 'lng': -88.039154}",
103,182560056-Advised,182560056,2018-09-13 00:29:54,"N 46TH ST / W CONGRESS ST,MKE",7,TRAFFIC STOP,Advised,"N 46TH ST & W CONGRESS ST,MILWAUKEE","{'lat': 43.097442, 'lng': -87.970706}",
104,182560055-Service in Progress,182560055,2018-09-13 00:29:35,"1721 W CANAL ST,MKE",3,SPECIAL ASSIGN,Service in Progress,"1721 W CANAL ST,MILWAUKEE","{'lat': 43.030391, 'lng': -87.934735}",
105,182552977-Service in Progress,182552977,2018-09-13 00:29:09,"1621 S 15TH PL,MKE",2,PROPERTY DAMAGE,Service in Progress,"1621 S 15TH PL,MILWAUKEE","{'lat': 43.013662, 'lng': -87.93207}",
106,182560053-Advised,182560053,2018-09-13 00:28:46,"100 W HOLT AV,MKE",6,TS TARGETED,Advised,"100 W HOLT AV,MILWAUKEE","{'lat': 42.982252, 'lng': -87.909469}",
107,182560048-Assignment Completed,182560048,2018-09-13 00:28:14,"9015 W THURSTON AV,MKE",4,MEET GOVT AGENCY,Assignment Completed,"9015 W THURSTAV,MILWAUKEE","{'lat': 43.011264, 'lng': -87.958409}",
108,182560043-Service in Progress,182560043,2018-09-13 00:28:08,"1605 W GRANT ST,MKE",2,TRBL W/SUBJ-DV,Service in Progress,"1605 W GRANT ST,MILWAUKEE","{'lat': 43.00457, 'lng': -87.933547}",
109,182560041-Advised,182560041,2018-09-13 00:27:37,"3861 N 50TH ST,MKE",7,SUSP PERS/AUTO,Advised,"3861 N 50TH ST,MILWAUKEE","{'lat': 43.087467, 'lng': -87.976084}",
110,182560051-Service in Progress,182560051,2018-09-13 00:27:27,"6929 W SILVER SPRING DR,MKE",4,PRISONER TRANS,Service in Progress,"6929 W SILVER SPRING DR,MILWAUKEE","{'lat': 43.118893, 'lng': -87.998216}",
111,182560039-Advised,182560039,2018-09-13 00:27:09,"1905 N 32ND ST,MKE",3,TRBL W/SUBJ,Advised,"1905 N 32ND ST,MILWAUKEE","{'lat': 43.055314, 'lng': -87.954191}",
112,182560050-Assignment Completed,182560050,2018-09-13 00:27:00,"1300 W COLLEGE AV,MKE",6,BUSINESS CHECK,Assignment Completed,"1300 W COLLEGE AV,MILWAUKEE","{'lat': 42.930804, 'lng': -87.930117}",
113,182560008-Advised,182560008,2018-09-13 00:17:41,"1919 N 17TH ST,MKE",3,TRBL W/SUBJ-DV,Advised,"1919 N 17TH ST,MILWAUKEE","{'lat': 43.055305, 'lng': -87.934251}",
114,182560003-Assignment Completed,182560003,2018-09-13 00:01:10,"2836 N 26TH ST,MKE",5,SHOTSPOTTER,Assignment Completed,"2836 N 26TH ST,MILWAUKEE","{'lat': 43.070519, 'lng': -87.94567}",
115,182552963-Assignment Completed,182552963,2018-09-12 23:36:41,"3626 W FOND DU LAC AV,MKE",7,RETURN STATION,Assignment Completed,"3626 W FOND DU LAC AV,MILWAUKEE","{'lat': 43.077239, 'lng': -87.959228}",
116,182560067-Advised,182560067,2018-09-13 00:33:46,"2950 W LISBON AV,MKE",3,SUBJ STOP,Advised,"2950 W LISBAV,MILWAUKEE","{'lat': 43.011264, 'lng': -87.958409}",
117,182560057-Unable to Locate Complainant,182560057,2018-09-13 00:31:49,"1244 W KEEFE AV,MKE",5,BATTERY,Unable to Locate Complainant,"1244 W KEEFE AV,MILWAUKEE","{'lat': 43.081821, 'lng': -87.926546}",
118,182560062-Service in Progress,182560062,2018-09-13 00:31:29,"2333 N 49TH ST,MKE",3,RETURN STATION,Service in Progress,"2333 N 49TH ST,MILWAUKEE","{'lat': 43.061433, 'lng': -87.975516}",
119,182560061-Service in Progress,182560061,2018-09-13 00:31:25,"S 76TH ST / W OKLAHOMA AV,MKE",6,PATROL,Service in Progress,"S 76TH ST & W OKLAHOMA AV,MILWAUKEE",,"{'input': {'address_components': {'city': 'Milwaukee', 'state': 'OK', 'country': 'US'}, 'formatted_address': 'Milwaukee, OK'}, 'results': []}"
