,ID,Call Number,Date/Time,Location,Police District,Nature of Call,Status,Cleaned_Location,Coordinates,Error_Logging
19,182573000-Service in Progress,182573000,2018-09-14 23:44:33,"N BUFFUM ST / E WRIGHT ST,MKE",5,SUBJ WITH GUN,Service in Progress,"N BUFFUM ST & E WRIGHT ST,MILWAUKEE","{'lat': 43.063862, 'lng': -87.906578}",
20,182573007-Service in Progress,182573007,2018-09-14 23:42:21,"N 76TH ST / W HAMPTON AV,MKE",7,INVESTIGATION,Service in Progress,"N 76TH ST & W HAMPTAV,MILWAUKEE","{'lat': 43.108634, 'lng': -88.006087}",
21,182573003-Unable to Locate Complainant,182573003,2018-09-14 23:41:26,"4605 N 30TH ST,MKE",5,SHOTSPOTTER,Unable to Locate Complainant,"4605 N 30TH ST,MILWAUKEE","{'lat': 43.101019, 'lng': -87.95082}",
22,182572988-Advised,182572988,2018-09-14 23:34:35,"6530 W FOND DU LAC AV,MKE",7,TRAFFIC STOP,Advised,"6530 W FOND DU LAC AV,MILWAUKEE","{'lat': 43.10377, 'lng': -87.993136}",
23,182572965-Unable to Locate Complainant,182572965,2018-09-14 23:28:05,"359 N 33RD ST,MKE",3,WELFARE CITIZEN,Unable to Locate Complainant,"359 N 33RD ST,MILWAUKEE","{'lat': 43.034334, 'lng': -87.955423}",
24,182572958-Advised,182572958,2018-09-14 23:19:44,"N 35TH ST / W COURTLAND AV,MKE",7,TRAFFIC STOP,Advised,"N 35TH ST & W COURTLAND AV,MILWAUKEE","{'lat': 43.102564, 'lng': -87.956772}",
25,182573014-Assignment Completed,182573014,2018-09-14 23:47:57,"2920 N 4TH ST,MKE",5,OUT OF SERVICE,Assignment Completed,"2920 N 4TH ST,MILWAUKEE","{'lat': 43.071738, 'lng': -87.914995}",
26,182572998-Service in Progress,182572998,2018-09-14 23:45:23,"S 32ND ST / W BURNHAM ST,MKE",2,RECKLESS VEHICLE,Service in Progress,"S 32ND ST & W BURNHAM ST,MILWAUKEE","{'lat': 43.010331, 'lng': -87.954064}",
27,182573000-Unable to Locate Complainant,182573000,2018-09-14 23:44:33,"N BUFFUM ST / E WRIGHT ST,MKE",5,SUBJ WITH GUN,Unable to Locate Complainant,"N BUFFUM ST & E WRIGHT ST,MILWAUKEE","{'lat': 43.063862, 'lng': -87.906578}",
28,182573034-Service in Progress,182573034,2018-09-14 23:54:44,"N GRANVILLE RD / W DARNEL AV,MKE",4,PROPERTY PICKUP,Service in Progress,"N GRANVILLE RD & W DARNEL AV,MILWAUKEE","{'lat': 43.16883, 'lng': -88.036313}",
29,182573033-Assignment Completed,182573033,2018-09-14 23:54:40,"3626 W FOND DU LAC AV,MKE",7,OUT OF SERVICE,Assignment Completed,"3626 W FOND DU LAC AV,MILWAUKEE","{'lat': 43.077239, 'lng': -87.959228}",
30,182573032-Assignment Completed,182573032,2018-09-14 23:54:22,"3006 S 27TH ST,MKE",6,OUT OF SERVICE,Assignment Completed,"3006 S 27TH ST,MILWAUKEE","{'lat': 42.990377, 'lng': -87.947407}",
31,182573028-Assignment Completed,182573028,2018-09-14 23:53:04,"749 W STATE ST,MKE",1,OUT OF SERVICE,Assignment Completed,"749 W STATE ST,MILWAUKEE","{'lat': 43.042662, 'lng': -87.920879}",
32,182573026-Assignment Completed,182573026,2018-09-14 23:52:26,"6929 W SILVER SPRING DR,MKE",4,OUT OF SERVICE,Assignment Completed,"6929 W SILVER SPRING DR,MILWAUKEE","{'lat': 43.118893, 'lng': -87.998216}",
33,182573024-Assignment Completed,182573024,2018-09-14 23:52:04,"2333 N 49TH ST,MKE",3,OUT OF SERVICE,Assignment Completed,"2333 N 49TH ST,MILWAUKEE","{'lat': 43.061433, 'lng': -87.975516}",
34,182573001-Service in Progress,182573001,2018-09-14 23:51:49,"5931 N LOVERS LANE RD,MKE",4,BATTERY DV,Service in Progress,"5931 N LOVERS LANE RD,MILWAUKEE","{'lat': 43.125376, 'lng': -88.055966}",
35,182573023-Assignment Completed,182573023,2018-09-14 23:51:44,"245 W LINCOLN AV,MKE",2,OUT OF SERVICE,Assignment Completed,"245 W LINCOLN AV,MILWAUKEE","{'lat': 43.002354, 'lng': -87.913504}",
36,182572984-Assignment Completed,182572984,2018-09-14 23:50:54,"3785 S 27TH ST,MKE",6,SUSPICIOUS-OTH,Assignment Completed,"3785 S 27TH ST,MILWAUKEE","{'lat': 42.97574, 'lng': -87.950225}",
37,182573041-Advised,182573041,2018-09-14 23:59:38,"N WATER ST / E WELLS ST,MKE",1,TRAFFIC STOP,Advised,"N WATER ST & E WELLS ST,MILWAUKEE","{'lat': 43.040991, 'lng': -87.909711}",
38,182573013-Service in Progress,182573013,2018-09-14 23:58:00,"2725 W HOPKINS ST,MKE",5,SHOTSPOTTER,Service in Progress,"2725 W HOPKINS ST,MILWAUKEE","{'lat': 43.084454, 'lng': -87.950713}",
39,182573027-Service in Progress,182573027,2018-09-14 23:57:45,"3310 S 12TH ST,MKE",6,WELFARE CITIZEN,Service in Progress,"3310 S 12TH ST,MILWAUKEE","{'lat': 42.984313, 'lng': -87.927235}",
40,182572908-Advised,182572908,2018-09-14 23:57:29,"3313 N 9TH ST,MKE",5,TRBL W/SUBJ,Advised,"3313 N 9TH ST,MILWAUKEE","{'lat': 43.079179, 'lng': -87.92268}",
41,182572998-Advised,182572998,2018-09-14 23:45:23,"S 32ND ST / W BURNHAM ST,MKE",2,RECKLESS VEHICLE,Advised,"S 32ND ST & W BURNHAM ST,MILWAUKEE","{'lat': 43.010331, 'lng': -87.954064}",
42,182573007-Assignment Completed,182573007,2018-09-14 23:42:21,"N 76TH ST / W HAMPTON AV,MKE",7,VEHICLE PURSUIT,Assignment Completed,"N 76TH ST & W HAMPTAV,MILWAUKEE","{'lat': 43.108634, 'lng': -88.006087}",
43,182572990-City Citation(s) Issued,182572990,2018-09-14 23:34:52,"720 N MILWAUKEE ST,MKE",1,SUBJ STOP,City Citation(s) Issued,"720 N MILWAUKEE ST,MILWAUKEE","{'lat': 43.039284, 'lng': -87.906141}",
44,182572922-Advised/Referral,182572922,2018-09-14 23:08:46,"2421 W FINN PL,MKE",5,VIOL REST ORDER,Advised/Referral,"2421 W FINN PL,MILWAUKEE","{'lat': 43.083282, 'lng': -87.942875}",
45,182573010-Service in Progress,182573010,2018-09-15 00:04:55,"9305 W SHERIDAN AV,MKE",4,NOTIFICATION,Service in Progress,"9305 W SHERIDAN AV,MILWAUKEE","{'lat': 43.118276, 'lng': -88.028588}",
46,182572925-Advised,182572925,2018-09-15 00:04:49,"N 15TH ST / W RING ST,MKE",5,TRBL W/SUBJ,Advised,"N 15TH ST & W RING ST,MILWAUKEE","{'lat': 43.077914, 'lng': -87.929858}",
47,182573030-Service in Progress,182573030,2018-09-15 00:04:48,"2813 E BELLEVIEW PL,MKE",1,BATTERY,Service in Progress,"2813 E BELLEVIEW PL,MILWAUKEE","{'lat': 43.064506, 'lng': -87.875443}",
48,182573016-Advised,182573016,2018-09-15 00:04:28,"2454 S 20TH ST,MKE",2,SUSP PERS/AUTO,Advised,"2454 S 20TH ST,MILWAUKEE","{'lat': 42.999947, 'lng': -87.93789}",
49,182572955-Service in Progress,182572955,2018-09-15 00:03:38,"2207 W LANCASTER AV,MKE",7,BATTERY DV,Service in Progress,"2207 W LANCASTER AV,MILWAUKEE","{'lat': 43.109956, 'lng': -87.938518}",
50,182573044-Unable to Locate Complainant,182573044,2018-09-15 00:03:02,"N 59TH ST / W WASHINGTON BL,MKE",3,GRAFFITI,Unable to Locate Complainant,"N 59TH ST & W WASHINGTBL, MILWAUKEE, WI","{'lat': 43.052962, 'lng': -87.986434}",
51,182573015-Service in Progress,182573015,2018-09-15 00:01:07,"2401 W WISCONSIN AV,MKE",3,INJ PERSON/SICK,Service in Progress,"2401 W WISCONSIN AV,MILWAUKEE","{'lat': 43.038061, 'lng': -87.943224}",
52,182573022-Service in Progress,182573022,2018-09-15 00:00:35,"4429 N 47TH ST,MKE",7,SHOTSPOTTER,Service in Progress,"4429 N 47TH ST,MILWAUKEE","{'lat': 43.097626, 'lng': -87.971937}",
53,182572946-Open Investigation,182572946,2018-09-14 23:23:07,"2660 N 36TH ST,MKE",3,VIOL REST ORDER,Open Investigation,"2660 N 36TH ST,MILWAUKEE","{'lat': 43.06739, 'lng': -87.9582}",
54,182572974-Service in Progress,182572974,2018-09-15 00:09:58,"2524 N 52ND ST,MKE",3,TRBL W/SUBJ,Service in Progress,"2524 N 52ND ST,MILWAUKEE","{'lat': 43.064862, 'lng': -87.978282}",
55,182573031-Service in Progress,182573031,2018-09-15 00:09:03,"2445 N HOLTON ST,MKE",5,SUSP PERS/AUTO,Service in Progress,"2445 N HOLTST,MILWAUKEE","{'lat': 43.011264, 'lng': -87.958409}",
56,182580010-Service in Progress,182580010,2018-09-15 00:08:34,"6929 W SILVER SPRING DR,MKE",4,CITIZEN CONVEY,Service in Progress,"6929 W SILVER SPRING DR,MILWAUKEE","{'lat': 43.118893, 'lng': -87.998216}",
57,182572945-Unable to Locate Complainant,182572945,2018-09-15 00:07:58,"3354 N 27TH ST,MKE",5,FAMILY TROUBL-DV,Unable to Locate Complainant,"3354 N 27TH ST,MILWAUKEE","{'lat': 43.080346, 'lng': -87.946746}",
58,182573011-Service in Progress,182573011,2018-09-15 00:07:39,"N 35TH ST / W SILVER SPRING DR,MKE",4,TRBL W/SUBJ,Service in Progress,"N 35TH ST & W SILVER SPRING DR,MILWAUKEE","{'lat': 43.119155, 'lng': -87.956251}",
59,182573004-Unable to Locate Complainant,182573004,2018-09-15 00:07:32,"1721 W CANAL ST,MKE",3,DUI,Unable to Locate Complainant,"1721 W CANAL ST,MILWAUKEE","{'lat': 43.030391, 'lng': -87.934735}",
60,182572959-Service in Progress,182572959,2018-09-15 00:07:31,"3741 W HILDA PL,MKE",2,NOISE NUISANCE,Service in Progress,"3741 W HILDA PL,MILWAUKEE","{'lat': 43.020484, 'lng': -87.960636}",
61,182573042-Service in Progress,182573042,2018-09-15 00:06:43,"3637 N 3RD ST,MKE",5,ENTRY,Service in Progress,"3637 N 3RD ST,MILWAUKEE","{'lat': 43.083926, 'lng': -87.914011}",
62,182573035-Service in Progress,182573035,2018-09-15 00:06:07,"3049 N CRAMER ST,MKE",1,NOISE NUISANCE,Service in Progress,"3049 N CRAMER ST,MILWAUKEE","{'lat': 43.073931, 'lng': -87.886916}",
63,182572956-Service in Progress,182572956,2018-09-15 00:05:57,"3526 N 100TH ST,MKE",7,FAMILY TROUBL-DV,Service in Progress,"3526 N 100TH ST,MILWAUKEE","{'lat': 43.082937, 'lng': -88.037292}",
64,182580004-Service in Progress,182580004,2018-09-15 00:05:14,"4249 N 47TH ST,MKE",7,SUBJ WITH GUN,Service in Progress,"4249 N 47TH ST,MILWAUKEE","{'lat': 43.094693, 'lng': -87.972257}",
65,182573034-Assignment Completed,182573034,2018-09-14 23:54:44,"N GRANVILLE RD / W DARNEL AV,MKE",4,PROPERTY PICKUP,Assignment Completed,"N GRANVILLE RD & W DARNEL AV,MILWAUKEE","{'lat': 43.16883, 'lng': -88.036313}",
66,182572971-Open Investigation,182572971,2018-09-14 23:26:19,"1721 W CANAL ST,MKE",3,BATTERY DV,Open Investigation,"1721 W CANAL ST,MILWAUKEE","{'lat': 43.030391, 'lng': -87.934735}",
67,182572994-Service in Progress,182572994,2018-09-15 00:13:27,"N 35TH ST / N MOTHER DANIELS WA,MKE",7,ENTRY AUTOS,Service in Progress,"N 35TH ST & N MOTHER DANIELS WA, MILWAUKEE, WI","{'lat': 43.108236, 'lng': -87.956511}",
68,182580015-Service in Progress,182580015,2018-09-15 00:12:42,"2469 N 34TH ST,MKE",3,VIOL REST ORDER,Service in Progress,"2469 N 34TH ST,MILWAUKEE","{'lat': 43.063949, 'lng': -87.956546}",
69,182572972-Service in Progress,182572972,2018-09-15 00:11:32,"5715 W CAPITOL DR,MKE",7,TRBL W/SUBJ,Service in Progress,"5715 W CAPITOL DR,MILWAUKEE","{'lat': 43.089613, 'lng': -87.984851}",
70,182573020-Service in Progress,182573020,2018-09-15 00:10:01,"2100 W ROGERS ST,MKE",2,BATTERY,Service in Progress,"2100 W ROGERS ST,MILWAUKEE","{'lat': 43.008711, 'lng': -87.939707}",
71,182572974-Unable to Locate Complainant,182572974,2018-09-15 00:09:58,"2524 N 52ND ST,MKE",3,TRBL W/SUBJ,Unable to Locate Complainant,"2524 N 52ND ST,MILWAUKEE","{'lat': 43.064862, 'lng': -87.978282}",
72,182573015-Advised,182573015,2018-09-15 00:01:07,"2401 W WISCONSIN AV,MKE",3,INJ PERSON/SICK,Advised,"2401 W WISCONSIN AV,MILWAUKEE","{'lat': 43.038061, 'lng': -87.943224}",
73,182573027-Advised,182573027,2018-09-14 23:57:45,"3310 S 12TH ST,MKE",6,WELFARE CITIZEN,Advised,"3310 S 12TH ST,MILWAUKEE","{'lat': 42.984313, 'lng': -87.927235}",
74,182580023-City Citation(s) Issued,182580023,2018-09-15 00:19:44,"N YOUNG ST / E ERIE ST,MKE",1,TRAFFIC STOP,City Citation(s) Issued,"N YOUNG ST & E ERIE ST,MILWAUKEE","{'lat': 43.030784, 'lng': -87.906897}",
75,182580022-Service in Progress,182580022,2018-09-15 00:18:34,"1657 S 15TH PL,MKE",2,SHOTS FIRED,Service in Progress,"1657 S 15TH PL,MILWAUKEE","{'lat': 43.012852, 'lng': -87.932241}",
76,182572905-Unable to Locate Complainant,182572905,2018-09-15 00:17:52,"3268 N 21ST ST,MKE",5,TRBL W/JUV,Unable to Locate Complainant,"3268 N 21ST ST,MILWAUKEE","{'lat': 43.078354, 'lng': -87.938122}",
77,182580021-Assignment Completed,182580021,2018-09-15 00:17:41,"1300 W COLLEGE AV,MKE",6,BUSINESS CHECK,Assignment Completed,"1300 W COLLEGE AV,MILWAUKEE","{'lat': 42.930804, 'lng': -87.930117}",
78,182580020-Advised,182580020,2018-09-15 00:17:21,"2512 W LINCOLN AV,MKE",2,TS TARGETED,Advised,"2512 W LINCOLN AV,MILWAUKEE","{'lat': 43.003452, 'lng': -87.945517}",
79,182580019-Service in Progress,182580019,2018-09-15 00:17:14,"2625 W JUNEAU AV,MKE",3,ENTRY,Service in Progress,"2625 W JUNEAU AV,MILWAUKEE","{'lat': 43.04554, 'lng': -87.947047}",
80,182580018-Service in Progress,182580018,2018-09-15 00:16:18,"4010 W GOOD HOPE RD,MKE",4,INVESTIGATION,Service in Progress,"4010 W GOOD HOPE RD,MILWAUKEE","{'lat': 43.149286, 'lng': -87.962}",
81,182572972-Advised,182572972,2018-09-15 00:11:32,"5715 W CAPITOL DR,MKE",7,TRBL W/SUBJ,Advised,"5715 W CAPITOL DR,MILWAUKEE","{'lat': 43.089613, 'lng': -87.984851}",
82,182572959-Unable to Locate Complainant,182572959,2018-09-15 00:07:31,"3741 W HILDA PL,MKE",2,NOISE NUISANCE,Unable to Locate Complainant,"3741 W HILDA PL,MILWAUKEE","{'lat': 43.020484, 'lng': -87.960636}",
83,182573022-Unable to Locate Complainant,182573022,2018-09-15 00:00:35,"4429 N 47TH ST,MKE",7,SHOTSPOTTER,Unable to Locate Complainant,"4429 N 47TH ST,MILWAUKEE","{'lat': 43.097626, 'lng': -87.971937}",
84,182573013-Unable to Locate Complainant,182573013,2018-09-14 23:58:00,"2725 W HOPKINS ST,MKE",5,SHOTSPOTTER,Unable to Locate Complainant,"2725 W HOPKINS ST,MILWAUKEE","{'lat': 43.084454, 'lng': -87.950713}",
85,182572993-Advised,182572993,2018-09-15 00:24:07,"3800 S 54TH ST,MKE",6,NOISE NUISANCE,Advised,"3800 S 54TH ST,MILWAUKEE","{'lat': 42.975567, 'lng': -87.981352}",
86,182580030-Service in Progress,182580030,2018-09-15 00:21:24,"720 N MILWAUKEE ST,MKE",1,SUBJ STOP,Service in Progress,"720 N MILWAUKEE ST,MILWAUKEE","{'lat': 43.039284, 'lng': -87.906141}",
87,182580029-Assignment Completed,182580029,2018-09-15 00:21:01,"6929 W SILVER SPRING DR,MKE",4,RETURN STATION,Assignment Completed,"6929 W SILVER SPRING DR,MILWAUKEE","{'lat': 43.118893, 'lng': -87.998216}",
88,182572934-Service in Progress,182572934,2018-09-15 00:20:42,"3007 S 15TH ST,MKE",6,NOISE NUISANCE,Service in Progress,"3007 S 15TH ST,MILWAUKEE","{'lat': 42.990069, 'lng': -87.932794}",
89,182580027-Assignment Completed,182580027,2018-09-15 00:20:34,"1300 E BRADY ST,MKE",1,PARK AND WALK,Assignment Completed,"1300 E BRADY ST,MILWAUKEE","{'lat': 43.05317, 'lng': -87.894474}",
90,182573011-Unable to Locate Complainant,182573011,2018-09-15 00:07:39,"N 35TH ST / W SILVER SPRING DR,MKE",4,TRBL W/SUBJ,Unable to Locate Complainant,"N 35TH ST & W SILVER SPRING DR,MILWAUKEE","{'lat': 43.119155, 'lng': -87.956251}",
91,182580041-Assignment Completed,182580041,2018-09-15 00:29:39,3869 S84TH ST,6,BUSINESS CHECK,Assignment Completed,"3869 S84TH ST, MILWAUKEE","{'lat': 43.087663, 'lng': -88.017912}",
92,182580035-Service in Progress,182580035,2018-09-15 00:28:56,"3237 S 16TH ST,MKE",6,HOSPITAL TO MCMH,Service in Progress,"3237 S 16TH ST,MILWAUKEE","{'lat': 42.985653, 'lng': -87.935744}",
93,182580038-Assignment Completed,182580038,2018-09-15 00:28:51,"6929 W SILVER SPRING DR,MKE",4,REPORTS,Assignment Completed,"6929 W SILVER SPRING DR,MILWAUKEE","{'lat': 43.118893, 'lng': -87.998216}",
94,182580008-To be Filed,182580008,2018-09-15 00:25:09,"3500 W MOTHER DANIELS WA,MKE",7,PROPERTY DAMAGE,To be Filed,"3500 W MOTHER DANIELS WA,MILWAUKEE","{'lat': 43.107219, 'lng': -87.95676}",
95,182580034-Assignment Completed,182580034,2018-09-15 00:25:03,"11800 W SILVER SPRING DR,MKE",4,BUSINESS CHECK,Assignment Completed,"11800 W SILVER SPRING DR,MILWAUKEE","{'lat': 43.117763, 'lng': -88.059907}",
96,182573030-Assignment Completed,182573030,2018-09-15 00:04:48,"2813 E BELLEVIEW PL,MKE",1,BATTERY,Assignment Completed,"2813 E BELLEVIEW PL,MILWAUKEE","{'lat': 43.064506, 'lng': -87.875443}",
97,182573025-Service in Progress,182573025,2018-09-15 00:34:50,"3343 N OAKLAND AV,MKE",1,IND EXPOSURE,Service in Progress,"3343 N OAKLAND AV,MILWAUKEE","{'lat': 43.078579, 'lng': -87.888044}",
98,182580053-Assignment Completed,182580053,2018-09-15 00:34:37,"1300 W COLLEGE AV,MKE",6,BUSINESS CHECK,Assignment Completed,"1300 W COLLEGE AV,MILWAUKEE","{'lat': 42.930804, 'lng': -87.930117}",
99,182580042-Unable to Locate Complainant,182580042,2018-09-15 00:34:22,"N 25TH ST / W MICHIGAN ST,MKE",3,WELFARE CITIZEN,Unable to Locate Complainant,"N 25TH ST & W MICHIGAN ST, MILWAUKEE, WI","{'lat': 43.037495, 'lng': -87.94498}",
100,182580039-Unable to Locate Complainant,182580039,2018-09-15 00:33:55,"E MENOMONEE ST / N JACKSON ST,MKE",1,RECKLESS VEHICLE,Unable to Locate Complainant,"E MENOMONEE ST & N JACKSST,MILWAUKEE","{'lat': 43.031522, 'lng': -87.905679}",
101,182580046-Assignment Completed,182580046,2018-09-15 00:31:44,"749 W STATE ST,MKE",1,VEHICLE MAINT,Assignment Completed,"749 W STATE ST,MILWAUKEE","{'lat': 43.042662, 'lng': -87.920879}",
102,182580025-Service in Progress,182580025,2018-09-15 00:22:01,"6334 W RICHMOND AV,MKE",7,WELFARE CITIZEN,Service in Progress,"6334 W RICHMOND AV,MILWAUKEE","{'lat': 43.071038, 'lng': -87.991648}",
103,182572934-Unable to Locate Complainant,182572934,2018-09-15 00:20:42,"3007 S 15TH ST,MKE",6,NOISE NUISANCE,Unable to Locate Complainant,"3007 S 15TH ST,MILWAUKEE","{'lat': 42.990069, 'lng': -87.932794}",
104,182573031-Advised,182573031,2018-09-15 00:09:03,"2445 N HOLTON ST,MKE",5,SUSP PERS/AUTO,Advised,"2445 N HOLTST,MILWAUKEE","{'lat': 43.011264, 'lng': -87.958409}",
105,182572979-Assignment Completed,182572979,2018-09-14 23:37:57,"1227 N MILWAUKEE ST,MKE",1,MEET MFD,Assignment Completed,"1227 N MILWAUKEE ST,MILWAUKEE","{'lat': 43.046414, 'lng': -87.907582}",
106,182572986-To be Filed,182572986,2018-09-14 23:36:14,"1923 S 10TH ST,MKE",2,STOLEN VEHICLE,To be Filed,"1923 S 10TH ST,MILWAUKEE","{'lat': 43.009659, 'lng': -87.924516}",
107,182580037-Unable to Locate Complainant,182580037,2018-09-15 00:39:25,"905 W HADLEY ST,MKE",5,TRBL W/SUBJ,Unable to Locate Complainant,"905 W HADLEY ST,MILWAUKEE","{'lat': 43.069298, 'lng': -87.922812}",
108,182580066-Service in Progress,182580066,2018-09-15 00:38:42,"2333 N 49TH ST,MKE",3,RETURN STATION,Service in Progress,"2333 N 49TH ST,MILWAUKEE","{'lat': 43.061433, 'lng': -87.975516}",
109,182580057-Assignment Completed,182580057,2018-09-15 00:38:13,"3304 N OAKLAND AV,MKE",1,ENTRY,Assignment Completed,"3304 N OAKLAND AV,MILWAUKEE","{'lat': 43.077753, 'lng': -87.887319}",
110,182580064-City Citation(s) Issued,182580064,2018-09-15 00:37:47,"S 2ND ST / W FLORIDA ST,MKE",1,TRAFFIC STOP,City Citation(s) Issued,"S 2ND ST & W FLORIDA ST, MILWAUKEE, WI","{'lat': 43.027358, 'lng': -87.912585}",
111,182580061-Assignment Completed,182580061,2018-09-15 00:37:19,"7600 W OKLAHOMA AV,WA",6,PATROL,Assignment Completed,"7600 W OKLAHOMA AV,WA, MILWAUKEE, WI","{'lat': 42.988123, 'lng': -88.007644}",
112,182580059-Assignment Completed,182580059,2018-09-15 00:36:17,"6929 W SILVER SPRING DR,MKE",4,RETURN STATION,Assignment Completed,"6929 W SILVER SPRING DR,MILWAUKEE","{'lat': 43.118893, 'lng': -87.998216}",
113,182580052-Unable to Locate Complainant,182580052,2018-09-15 00:35:40,"2911 N 28TH ST,MKE",5,SHOTSPOTTER,Unable to Locate Complainant,"2911 N 28TH ST,MILWAUKEE","{'lat': 43.07183, 'lng': -87.948843}",
114,182580026-Unable to Locate Complainant,182580026,2018-09-15 00:35:39,"2546 N 34TH ST,MKE",3,FAMILY TROUBLE,Unable to Locate Complainant,"2546 N 34TH ST,MILWAUKEE","{'lat': 43.065276, 'lng': -87.955891}",
115,182580054-Service in Progress,182580054,2018-09-15 00:35:28,"N 76TH ST / W BROWN DEER RD,MKE",4,SPECIAL ASSIGN,Service in Progress,"N 76TH ST & W BROWN DEER RD,MILWAUKEE","{'lat': 43.177968, 'lng': -88.005389}",
116,182580051-Unable to Locate Complainant,182580051,2018-09-15 00:35:09,"2923 N 28TH ST,MKE",5,SHOTSPOTTER,Unable to Locate Complainant,"2923 N 28TH ST,MILWAUKEE","{'lat': 43.072076, 'lng': -87.94884}",
117,182573020-City Citation(s) Issued,182573020,2018-09-15 00:10:01,"2100 W ROGERS ST,MKE",2,BATTERY,City Citation(s) Issued,"2100 W ROGERS ST,MILWAUKEE","{'lat': 43.008711, 'lng': -87.939707}",
