,ID,Call Number,Date/Time,Location,Police District,Nature of Call,Status,Cleaned_Location,Coordinates,Error_Logging
22,182562877-Assignment Completed,182562877,2018-09-13 23:23:13,"3381 N 35TH ST,MKE",7,BUSINESS CHECK,Assignment Completed,"3381 N 35TH ST,MILWAUKEE","{'lat': 43.080828, 'lng': -87.957474}",
23,182562876-Assignment Completed,182562876,2018-09-13 23:23:01,"5600 W CAPITOL DR,MKE",7,RETURN STATION,Assignment Completed,"5600 W CAPITOL DR,MILWAUKEE","{'lat': 43.089303, 'lng': -88.052286}",
24,182562873-Assignment Completed,182562873,2018-09-13 23:21:49,"3626 W FOND DU LAC AV,MKE",7,RETURN STATION,Assignment Completed,"3626 W FOND DU LAC AV,MILWAUKEE","{'lat': 43.077239, 'lng': -87.959228}",
25,182562814-Advised,182562814,2018-09-13 23:03:12,"5280 N 67TH ST,MKE",4,FAMILY TROUBL-DV,Advised,"5280 N 67TH ST,MILWAUKEE","{'lat': 43.113902, 'lng': -87.994384}",
26,182562831-Unable to Locate Complainant,182562831,2018-09-13 22:59:34,"N 35TH ST / W LISBON AV,MKE",3,TRBL W/SUBJ,Unable to Locate Complainant,"N 35TH ST & W LISBAV,MILWAUKEE","{'lat': 43.067903, 'lng': -87.957411}",
27,182562823-Advised/Referral,182562823,2018-09-13 22:54:42,"3845 N 17TH ST,MKE",5,BATTERY DV,Advised/Referral,"3845 N 17TH ST,MILWAUKEE","{'lat': 43.086925, 'lng': -87.932401}",
28,182562613-Unable to Locate Complainant,182562613,2018-09-13 22:43:09,"5245 N 37TH ST,MKE",4,SUBJ WANTED,Unable to Locate Complainant,"5245 N 37TH ST,MILWAUKEE","{'lat': 43.112906, 'lng': -87.959108}",
29,182562908-Assignment Completed,182562908,2018-09-13 23:39:13,"3626 W FOND DU LAC AV,MKE",7,OUT OF SERVICE,Assignment Completed,"3626 W FOND DU LAC AV,MILWAUKEE","{'lat': 43.077239, 'lng': -87.959228}",
30,182562906-Assignment Completed,182562906,2018-09-13 23:37:54,"6929 W SILVER SPRING DR,MKE",4,OUT OF SERVICE,Assignment Completed,"6929 W SILVER SPRING DR,MILWAUKEE","{'lat': 43.118893, 'lng': -87.998216}",
31,182562905-Advised,182562905,2018-09-13 23:37:10,"2900 S SHORE DR,MKE",6,SUBJ STOP,Advised,"2900 S SHORE DR,MILWAUKEE","{'lat': 42.993802, 'lng': -87.881141}",
32,182562902-Unable to Locate Complainant,182562902,2018-09-13 23:36:58,"115 N 68TH ST,MKE",3,SHOTS FIRED,Unable to Locate Complainant,"115 N 68TH ST,MILWAUKEE","{'lat': 43.031711, 'lng': -87.997707}",
33,182562900-Assignment Completed,182562900,2018-09-13 23:36:09,"2333 N 49TH ST,MKE",3,OUT OF SERVICE,Assignment Completed,"2333 N 49TH ST,MILWAUKEE","{'lat': 43.061433, 'lng': -87.975516}",
34,182562747-Service in Progress,182562747,2018-09-13 23:35:37,"5742 N 79TH ST,MKE",4,NOISE NUISANCE,Service in Progress,"5742 N 79TH ST,MILWAUKEE","{'lat': 43.122374, 'lng': -88.00929}",
35,182562899-City Citation(s) Issued,182562899,2018-09-13 23:35:33,"720 N MILWAUKEE ST,MKE",1,TRBL W/JUV,City Citation(s) Issued,"720 N MILWAUKEE ST,MILWAUKEE","{'lat': 43.039284, 'lng': -87.906141}",
36,182562897-Assignment Completed,182562897,2018-09-13 23:35:29,"2333 N 49TH ST,MKE",3,FOLLOW UP,Assignment Completed,"2333 N 49TH ST,MILWAUKEE","{'lat': 43.061433, 'lng': -87.975516}",
37,182562896-Assignment Completed,182562896,2018-09-13 23:34:53,"749 W STATE ST,MKE",1,OUT OF SERVICE,Assignment Completed,"749 W STATE ST,MILWAUKEE","{'lat': 43.042662, 'lng': -87.920879}",
38,182562849-Assignment Completed,182562849,2018-09-13 23:05:55,"3006 S 27TH ST,MKE",6,REPORTS,Assignment Completed,"3006 S 27TH ST,MILWAUKEE","{'lat': 42.990377, 'lng': -87.947407}",
39,182562919-Service in Progress,182562919,2018-09-13 23:44:59,"2735 N SHERMAN BL,MKE",7,TRAFFIC STOP,Service in Progress,"2735 N SHERMAN BL,MILWAUKEE","{'lat': 43.045962, 'lng': -87.963536}",
40,182562888-Service in Progress,182562888,2018-09-13 23:43:00,"2954 N 24TH PL,MKE",5,ENTRY,Service in Progress,"2954 N 24TH PL,MILWAUKEE","{'lat': 43.072686, 'lng': -87.943175}",
41,182562912-Assignment Completed,182562912,2018-09-13 23:40:49,"N 60TH ST / W BURLEIGH ST,MKE",7,INVESTIGATION,Assignment Completed,"N 60TH ST & W BURLEIGH ST,MILWAUKEE","{'lat': 43.073512, 'lng': -87.987358}",
42,182562909-Assignment Completed,182562909,2018-09-13 23:40:02,"3626 W FOND DU LAC AV,MKE",7,POLICE ADMIN,Assignment Completed,"3626 W FOND DU LAC AV,MILWAUKEE","{'lat': 43.077239, 'lng': -87.959228}",
43,182562931-Service in Progress,182562931,2018-09-13 23:49:57,"5841 W BLUE MOUND RD,MKE",3,TAVERN CHECK,Service in Progress,"5841 W BLUE MOUND RD,MILWAUKEE","{'lat': 43.036214, 'lng': -87.985733}",
44,182562930-Assignment Completed,182562930,2018-09-13 23:49:50,"2920 N 4TH ST,MKE",5,OUT OF SERVICE,Assignment Completed,"2920 N 4TH ST,MILWAUKEE","{'lat': 43.071738, 'lng': -87.914995}",
45,182562927-Assignment Completed,182562927,2018-09-13 23:48:49,"245 W LINCOLN AV,MKE",2,OUT OF SERVICE,Assignment Completed,"245 W LINCOLN AV,MILWAUKEE","{'lat': 43.002354, 'lng': -87.913504}",
46,182562926-Assignment Completed,182562926,2018-09-13 23:47:46,"3006 S 27TH ST,MKE",6,OUT OF SERVICE,Assignment Completed,"3006 S 27TH ST,MILWAUKEE","{'lat': 42.990377, 'lng': -87.947407}",
47,182562846-Assignment Completed,182562846,2018-09-13 23:47:44,"925 W WINNEBAGO ST,MKE",1,TRBL W/SUBJ,Assignment Completed,"925 W WINNEBAGO ST,MILWAUKEE","{'lat': 43.047049, 'lng': -87.923429}",
48,182562925-Assignment Completed,182562925,2018-09-13 23:47:30,"N 35TH ST / W CENTER ST,MKE",3,NON PURSUIT NO P,Assignment Completed,"N 35TH ST & W CENTER ST,MILWAUKEE","{'lat': 43.067903, 'lng': -87.957411}",
49,182562924-Advised,182562924,2018-09-13 23:47:26,"4877 N SHERMAN BL,MKE",7,TRAFFIC STOP,Advised,"4877 N SHERMAN BL,MILWAUKEE","{'lat': 43.106305, 'lng': -87.966877}",
50,182562922-City Citation(s) Issued,182562922,2018-09-13 23:46:14,"N WATER ST / E JUNEAU AV,MKE",1,PARKING TROUBLE,City Citation(s) Issued,"N WATER ST & E JUNEAU AV,MILWAUKEE","{'lat': 43.045726, 'lng': -87.911065}",
51,182562802-Advised,182562802,2018-09-13 23:45:37,"913 S 22ND ST,MKE",2,TRBL W/SUBJ,Advised,"913 S 22ND ST,MILWAUKEE","{'lat': 43.021407, 'lng': -87.941161}",
52,182562869-Assignment Completed,182562869,2018-09-13 23:18:08,"8918 W CARMEN AV,MKE",4,INVESTIGATION,Assignment Completed,"8918 W CARMEN AV,MILWAUKEE","{'lat': 43.123737, 'lng': -88.02359}",
53,182562824-To be Filed,182562824,2018-09-13 23:01:36,"800 E LAYTON AV,MKE",6,THEFT FROM PERSN,To be Filed,"800 E LAYTAV,MILWAUKEE","{'lat': 43.082018, 'lng': -87.889534}",
54,182562935-Service in Progress,182562935,2018-09-13 23:51:40,"W VILLARD AV / N 35TH ST,MKE",4,INVESTIGATION,Service in Progress,"W VILLARD AVE & N 35TH ST,MILWAUKEE","{'lat': 43.111919, 'lng': -87.956442}",
55,182562919-Advised,182562919,2018-09-13 23:44:59,"2735 N SHERMAN BL,MKE",7,TRAFFIC STOP,Advised,"2735 N SHERMAN BL,MILWAUKEE","{'lat': 43.045962, 'lng': -87.963536}",
56,182562621-Unable to Locate Complainant,182562621,2018-09-13 22:58:00,"S 13TH ST / W LINCOLN AV,MKE",2,ANIMAL BITE,Unable to Locate Complainant,"S 13TH ST & W LINCOLN AV,MILWAUKEE","{'lat': 43.002854, 'lng': -87.928469}",
57,182562918-Unable to Locate Complainant,182562918,2018-09-13 23:57:34,"3747 N 15TH ST,MKE",5,CALL FOR POLICE,Unable to Locate Complainant,"3747 N 15TH ST,MILWAUKEE","{'lat': 43.085381, 'lng': -87.929817}",
58,182562940-Assignment Completed,182562940,2018-09-13 23:56:31,"2333 N 49TH ST,MKE",3,RETURN STATION,Assignment Completed,"2333 N 49TH ST,MILWAUKEE","{'lat': 43.061433, 'lng': -87.975516}",
59,182562934-Service in Progress,182562934,2018-09-13 23:55:25,"4951 N 36TH ST,MKE",7,BATTERY,Service in Progress,"4951 N 36TH ST,MILWAUKEE","{'lat': 43.107509, 'lng': -87.958021}",
60,182562858-Unable to Locate Complainant,182562858,2018-09-13 23:33:49,"605 S 1ST ST,MKE",2,NOISE NUISANCE,Unable to Locate Complainant,"605 S 1ST ST,MILWAUKEE","{'lat': 43.024908, 'lng': -87.911772}",
61,182570004-Service in Progress,182570004,2018-09-14 00:04:06,"7976 W VILLARD AV,MKE",4,SHOTS FIRED,Service in Progress,"7976 W VILLARD AV,MILWAUKEE","{'lat': 43.112408, 'lng': -88.009917}",
62,182570013-Service in Progress,182570013,2018-09-14 00:04:02,"4045 N 45TH ST,MKE",7,NON PURSUIT,Service in Progress,"4045 N 45TH ST,MILWAUKEE","{'lat': 43.090915, 'lng': -87.970147}",
63,182570011-Assignment Completed,182570011,2018-09-14 00:03:33,"951 N JAMES LOVELL ST,MKE",1,SUBJ WANTED,Assignment Completed,"951 N JAMES LOVELL ST,MILWAUKEE","{'lat': 43.042662, 'lng': -87.920879}",
64,182570002-Advised/Referral,182570002,2018-09-14 00:01:50,"708 E JUNEAU AV,MKE",1,BATTERY,Advised/Referral,"708 E JUNEAU AV,MILWAUKEE","{'lat': 43.046008, 'lng': -87.903048}",
65,182570008-Assignment Completed,182570008,2018-09-14 00:01:31,MIDTOWN,7,RETURN STATION,Assignment Completed,"MIDTOWN, MILWAUKEE","{'lat': 43.011264, 'lng': -87.958409}",
66,182570007-Service in Progress,182570007,2018-09-14 00:01:20,"2950 N 27TH ST,MKE",5,TRAFFIC STOP,Service in Progress,"2950 N 27TH ST,MILWAUKEE","{'lat': 43.072704, 'lng': -87.946875}",
67,182570001-Assignment Completed,182570001,2018-09-14 00:00:08,"1300 E BRADY ST,MKE",1,PARK AND WALK,Assignment Completed,"1300 E BRADY ST,MILWAUKEE","{'lat': 43.05317, 'lng': -87.894474}",
68,182562931-Assignment Completed,182562931,2018-09-13 23:49:57,"5841 W BLUE MOUND RD,MKE",3,TAVERN CHECK,Assignment Completed,"5841 W BLUE MOUND RD,MILWAUKEE","{'lat': 43.036214, 'lng': -87.985733}",
69,182570022-Service in Progress,182570022,2018-09-14 00:10:00,"545 W LAYTON AV,MKE",6,BUSINESS CHECK,Service in Progress,"545 W LAYTAV,MILWAUKEE","{'lat': 43.011264, 'lng': -87.958409}",
70,182570019-Service in Progress,182570019,2018-09-14 00:08:32,"749 W STATE ST,MKE",1,ASSIGNMENT,Service in Progress,"749 W STATE ST,MILWAUKEE","{'lat': 43.042662, 'lng': -87.920879}",
71,182570009-Service in Progress,182570009,2018-09-14 00:08:07,"2329 E BELLEVIEW PL,MKE",1,TRBL W/SUBJ,Service in Progress,"2329 E BELLEVIEW PL,MILWAUKEE","{'lat': 43.065911, 'lng': -87.880893}",
72,182570018-City Citation(s) Issued,182570018,2018-09-14 00:07:00,"720 N MILWAUKEE ST,MKE",1,TRBL W/JUV,City Citation(s) Issued,"720 N MILWAUKEE ST,MILWAUKEE","{'lat': 43.039284, 'lng': -87.906141}",
73,182570017-Service in Progress,182570017,2018-09-14 00:06:31,"3626 W FOND DU LAC AV,MKE",7,SPECIAL ASSIGN,Service in Progress,"3626 W FOND DU LAC AV,MILWAUKEE","{'lat': 43.077239, 'lng': -87.959228}",
74,182562932-Service in Progress,182562932,2018-09-14 00:06:27,"6806 N 39TH ST,MKE",4,ACC PI,Service in Progress,"6806 N 39TH ST,MILWAUKEE","{'lat': 43.141988, 'lng': -87.957767}",
75,182570014-Service in Progress,182570014,2018-09-14 00:05:38,"3139 N 48TH ST,MKE",7,BATTERY,Service in Progress,"3139 N 48TH ST,MILWAUKEE","{'lat': 43.076088, 'lng': -87.974044}",
76,182562902-Assignment Completed,182562902,2018-09-13 23:36:58,"115 N 68TH ST,MKE",3,SHOTS FIRED,Assignment Completed,"115 N 68TH ST,MILWAUKEE","{'lat': 43.031711, 'lng': -87.997707}",
77,182562747-Unable to Locate Complainant,182562747,2018-09-13 23:35:37,"5742 N 79TH ST,MKE",4,NOISE NUISANCE,Unable to Locate Complainant,"5742 N 79TH ST,MILWAUKEE","{'lat': 43.122374, 'lng': -88.00929}",
78,182562485-To be Filed,182562485,2018-09-13 23:27:46,"2523 W PIERCE ST,MKE",2,STOLEN VEHICLE,To be Filed,"2523 W PIERCE ST,MILWAUKEE","{'lat': 43.023952, 'lng': -87.945782}",
79,182570035-Service in Progress,182570035,2018-09-14 00:14:50,"8328 N 95TH ST,MKE",4,SUSP PERS/AUTO,Service in Progress,"8328 N 95TH ST,MILWAUKEE","{'lat': 43.1694, 'lng': -88.029907}",
80,182562937-Service in Progress,182562937,2018-09-14 00:14:37,"7737 W LUSCHER AV,MKE",7,FIGHT,Service in Progress,"7737 W LUSCHER AV,MILWAUKEE","{'lat': 43.105657, 'lng': -88.009257}",
81,182570034-Advised,182570034,2018-09-14 00:13:34,"N 44TH ST / W CAPITOL DR,MKE",7,TRBL W/SUBJ,Advised,"N 44TH ST & W CAPITOL DR,MILWAUKEE","{'lat': 43.089815, 'lng': -87.968527}",
82,182562911-Unable to Locate Complainant,182562911,2018-09-14 00:13:33,"N 27TH ST / W BOBOLINK AV,MKE",4,NOISE NUISANCE,Unable to Locate Complainant,"N 27TH ST & W BOBOLINK AV,MILWAUKEE","{'lat': 43.121476, 'lng': -87.946125}",
83,182570029-Service in Progress,182570029,2018-09-14 00:13:18,"5072 N 84TH ST,MKE",7,BATTERY DV,Service in Progress,"5072 N 84TH ST,MILWAUKEE","{'lat': 43.110246, 'lng': -88.015474}",
84,182562941-Service in Progress,182562941,2018-09-14 00:13:05,"1529 N VAN BUREN ST,MKE",1,ACC PDO,Service in Progress,"1529 N VAN BUREN ST,MILWAUKEE","{'lat': 43.050074, 'lng': -87.903736}",
85,182570030-Assignment Completed,182570030,2018-09-14 00:12:25,"2920 N 4TH ST,MKE",5,RETURN STATION,Assignment Completed,"2920 N 4TH ST,MILWAUKEE","{'lat': 43.071738, 'lng': -87.914995}",
86,182570027-Service in Progress,182570027,2018-09-14 00:11:33,"2333 N 49TH ST,MKE",3,PRISONER TRANS,Service in Progress,"2333 N 49TH ST,MILWAUKEE","{'lat': 43.061433, 'lng': -87.975516}",
87,182570026-Assignment Completed,182570026,2018-09-14 00:11:25,"6680 N TEUTONIA AV,MKE",4,RETURN STATION,Assignment Completed,"6680 N TEUTONIA AV,MILWAUKEE","{'lat': 43.139111, 'lng': -87.952424}",
88,182570024-Service in Progress,182570024,2018-09-14 00:10:14,"2301 N LAKE DR,MKE",1,HOSPITAL GUARD,Service in Progress,"2301 N LAKE DR,MILWAUKEE","{'lat': 43.061285, 'lng': -87.880087}",
89,182570019-Assignment Completed,182570019,2018-09-14 00:08:32,"749 W STATE ST,MKE",1,ASSIGNMENT,Assignment Completed,"749 W STATE ST,MILWAUKEE","{'lat': 43.042662, 'lng': -87.920879}",
90,182562923-Unable to Locate Complainant,182562923,2018-09-14 00:18:48,"2200-BLK N 6TH ST,MKE",5,TRBL W/SUBJ,Unable to Locate Complainant,"2200- N 6TH ST,MILWAUKEE","{'lat': 43.058965, 'lng': -87.9185}",
91,182570041-Service in Progress,182570041,2018-09-14 00:18:47,"720 N MILWAUKEE ST,MKE",1,PARK AND WALK,Service in Progress,"720 N MILWAUKEE ST,MILWAUKEE","{'lat': 43.039284, 'lng': -87.906141}",
92,182570028-Service in Progress,182570028,2018-09-14 00:17:58,"2928 N 27TH ST,MKE",5,CALL FOR POLICE,Service in Progress,"2928 N 27TH ST,MILWAUKEE","{'lat': 43.07224, 'lng': -87.946968}",
93,182570038-Service in Progress,182570038,2018-09-14 00:17:13,"3732 N 19TH ST,MKE",5,FIGHT,Service in Progress,"3732 N 19TH ST,MILWAUKEE","{'lat': 43.085535, 'lng': -87.934094}",
94,182570040-Service in Progress,182570040,2018-09-14 00:16:35,"3828 N 39TH ST,MKE",7,FOLLOW UP,Service in Progress,"3828 N 39TH ST,MILWAUKEE","{'lat': 43.086626, 'lng': -87.961684}",
95,182570037-Unable to Locate Complainant,182570037,2018-09-14 00:16:22,"8502 N 68TH ST,MKE",4,BATTERY,Unable to Locate Complainant,"8502 N 68TH ST,MILWAUKEE","{'lat': 43.173456, 'lng': -87.994415}",
96,182562843-Unable to Locate Complainant,182562843,2018-09-13 23:30:38,"1040 S 29TH ST,MKE",2,TRBL W/SUBJ,Unable to Locate Complainant,"1040 S 29TH ST,MILWAUKEE","{'lat': 43.020144, 'lng': -87.949855}",
97,182570048-Service in Progress,182570048,2018-09-14 00:24:29,"S 14TH ST / W SCOTT ST,MKE",2,SHOTS FIRED,Service in Progress,"S 14TH ST & W SCOTT ST,MILWAUKEE","{'lat': 43.019089, 'lng': -87.929279}",
98,182570047-Unable to Locate Complainant,182570047,2018-09-14 00:23:59,"1528 W GREENFIELD AV,MKE",2,SHOTSPOTTER,Unable to Locate Complainant,"1528 W GREENFIELD AV,MILWAUKEE","{'lat': 43.017321, 'lng': -87.931541}",
99,182570046-Assignment Completed,182570046,2018-09-14 00:23:01,"3097 S KINNICKINNIC AV,MKE",6,BUSINESS CHECK,Assignment Completed,"3097 S KINNICKINNIC AV,MILWAUKEE","{'lat': 42.988171, 'lng': -87.883624}",
100,182570044-Service in Progress,182570044,2018-09-14 00:22:38,"2021 N 28TH ST,MKE",3,ROBBERY ARMED,Service in Progress,"2021 N 28TH ST,MILWAUKEE","{'lat': 43.056886, 'lng': -87.949}",
101,182562851-Service in Progress,182562851,2018-09-14 00:21:46,"1217 S CESAR E CHAVEZ DR,MKE",2,PROPERTY DAMAGE,Service in Progress,"1217 S CESAR E CHAVEZ DR,MILWAUKEE","{'lat': 43.018595, 'lng': -87.933331}",
102,182570043-Service in Progress,182570043,2018-09-14 00:21:27,"S 76TH ST / W OKLAHOMA AV,MKE",6,PATROL,Service in Progress,"S 76TH ST & W OKLAHOMA AV,MILWAUKEE",,"{'input': {'address_components': {'city': 'Milwaukee', 'state': 'OK', 'country': 'US'}, 'formatted_address': 'Milwaukee, OK'}, 'results': []}"
103,182570042-Service in Progress,182570042,2018-09-14 00:21:19,"245 W LINCOLN AV,MKE",2,RETURN STATION,Service in Progress,"245 W LINCOLN AV,MILWAUKEE","{'lat': 43.002354, 'lng': -87.913504}",
104,182570028-Advised,182570028,2018-09-14 00:17:58,"2928 N 27TH ST,MKE",5,CALL FOR POLICE,Advised,"2928 N 27TH ST,MILWAUKEE","{'lat': 43.07224, 'lng': -87.946968}",
105,182570040-Assignment Completed,182570040,2018-09-14 00:16:35,"3828 N 39TH ST,MKE",7,FOLLOW UP,Assignment Completed,"3828 N 39TH ST,MILWAUKEE","{'lat': 43.086626, 'lng': -87.961684}",
106,182570022-Assignment Completed,182570022,2018-09-14 00:10:00,"545 W LAYTON AV,MKE",6,BUSINESS CHECK,Assignment Completed,"545 W LAYTAV,MILWAUKEE","{'lat': 43.011264, 'lng': -87.958409}",
107,182570009-Advised,182570009,2018-09-14 00:08:07,"2329 E BELLEVIEW PL,MKE",1,TRBL W/SUBJ,Advised,"2329 E BELLEVIEW PL,MILWAUKEE","{'lat': 43.065911, 'lng': -87.880893}",
108,182570007-Assignment Completed,182570007,2018-09-14 00:01:20,"2950 N 27TH ST,MKE",5,TRAFFIC STOP,Assignment Completed,"2950 N 27TH ST,MILWAUKEE","{'lat': 43.072704, 'lng': -87.946875}",
109,182570064-Service in Progress,182570064,2018-09-14 00:29:53,"245 W LINCOLN AV,MKE",2,POLICE ADMIN,Service in Progress,"245 W LINCOLN AV,MILWAUKEE","{'lat': 43.002354, 'lng': -87.913504}",
110,182562938-Service in Progress,182562938,2018-09-14 00:29:44,"1014 W ATKINSON AV,MKE",5,TRBL W/SUBJ,Service in Progress,"1014 W ATKINSAV,MILWAUKEE","{'lat': 43.084188, 'lng': -87.923655}",
111,182570063-Service in Progress,182570063,2018-09-14 00:28:51,"9200 W BLUE MOUND RD,MKE",3,BUSINESS CHECK,Service in Progress,"9200 W BLUE MOUND RD,MILWAUKEE","{'lat': 43.036216, 'lng': -88.027792}",
112,182570061-Assignment Completed,182570061,2018-09-14 00:28:34,"350 N PLANKINTON AV,MKE",1,BUSINESS CHECK,Assignment Completed,"350 N PLANKINTAV,MILWAUKEE","{'lat': 43.034331, 'lng': -87.91083}",
113,182570054-Advised,182570054,2018-09-14 00:27:49,"2494 S 5TH ST,MKE",2,TRBL W/SUBJ,Advised,"2494 S 5TH ST,MILWAUKEE","{'lat': 42.999429, 'lng': -87.916541}",
114,182570059-Service in Progress,182570059,2018-09-14 00:27:37,"4001 W NORTH AV,MKE",3,TAVERN CHECK,Service in Progress,"4001 W NORTH AV,MILWAUKEE","{'lat': 43.060344, 'lng': -87.963567}",
115,182570055-Service in Progress,182570055,2018-09-14 00:26:02,"1300 W MALLORY AV,MKE",6,PATROL,Service in Progress,"1300 W MALLORY AV,MILWAUKEE","{'lat': 42.946415, 'lng': -87.929389}",
116,182570053-Assignment Completed,182570053,2018-09-14 00:25:49,"749 W STATE ST,MKE",1,POLICE ADMIN,Assignment Completed,"749 W STATE ST,MILWAUKEE","{'lat': 43.042662, 'lng': -87.920879}",
117,182570035-Unable to Locate Complainant,182570035,2018-09-14 00:14:50,"8328 N 95TH ST,MKE",4,SUSP PERS/AUTO,Unable to Locate Complainant,"8328 N 95TH ST,MILWAUKEE","{'lat': 43.1694, 'lng': -88.029907}",
118,182562932-Assignment Completed,182562932,2018-09-14 00:06:27,"3820 W GREEN TREE RD,MKE",4,ACC PI,Assignment Completed,"3820 W GREEN TREE RD,MILWAUKEE","{'lat': 43.141988, 'lng': -87.957767}",
119,182570014-Advised/Referral,182570014,2018-09-14 00:05:38,"3139 N 48TH ST,MKE",7,BATTERY,Advised/Referral,"3139 N 48TH ST,MILWAUKEE","{'lat': 43.076088, 'lng': -87.974044}",
120,182570007-Advised,182570007,2018-09-14 00:01:20,"2950 N 27TH ST,MKE",5,TRAFFIC STOP,Advised,"2950 N 27TH ST,MILWAUKEE","{'lat': 43.072704, 'lng': -87.946875}",
