,ID,Call Number,Date/Time,Location,Police District,Nature of Call,Status,Cleaned_Location,Coordinates,Error_Logging
78,182620029-Service in Progress,182620029,2018-09-19 00:18:04,"3626 W FOND DU LAC AV,MKE",7,RETURN STATION,Service in Progress,"3626 W FOND DU LAC AV,MILWAUKEE","{'lat': 43.077239, 'lng': -87.959228}",
79,182620027-Advised,182620027,2018-09-19 00:17:15,"N 24TH PL / W HADLEY ST,MKE",5,PATROL,Advised,"N 24TH PL & W HADLEY ST, MILWAUKEE, WI","{'lat': 43.06969, 'lng': -87.943659}",
80,182620025-Service in Progress,182620025,2018-09-19 00:16:48,"3626 W FOND DU LAC AV,MKE",7,RETURN STATION,Service in Progress,"3626 W FOND DU LAC AV,MILWAUKEE","{'lat': 43.077239, 'lng': -87.959228}",
81,182620024-Assignment Completed,182620024,2018-09-19 00:16:44,"9100 W BRADLEY RD,MKE",4,PATROL,Assignment Completed,"9100 W BRADLEY RD, MILWAUKEE, WI","{'lat': 43.163019, 'lng': -88.024514}",
82,182620010-Unable to Locate Complainant,182620010,2018-09-19 00:16:13,"2200 W KILBOURN AV,MKE",3,BATTERY DV,Unable to Locate Complainant,"2200 W KILBOURN AV, MILWAUKEE, WI","{'lat': 43.042465, 'lng': -87.940543}",
83,182612783-Service in Progress,182612783,2018-09-19 00:16:10,"1631 W GRANT ST,MKE",2,RECKLESS VEHICLE,Service in Progress,"1631 W GRANT ST, MILWAUKEE, WI","{'lat': 43.004556, 'lng': -87.934166}",
84,182620022-Service in Progress,182620022,2018-09-19 00:16:07,"433 W ST PAUL AV,MKE",1,FOLLOW UP,Service in Progress,"433 W ST PAUL AV,MILWAUKEE","{'lat': 43.034556, 'lng': -87.922107}",
85,182620021-Service in Progress,182620021,2018-09-19 00:15:53,"4115 N 56TH ST,MKE",7,RETURN STATION,Service in Progress,"4115 N 56TH ST,MILWAUKEE","{'lat': 43.091323, 'lng': -87.984621}",
86,182612742-Unable to Locate Complainant,182612742,2018-09-18 23:26:10,"W NATIONAL AV / S CESAR E CHAVEZ DR,MKE",2,WELFARE CITIZEN,Unable to Locate Complainant,"W NATIONAL AVE & S CESAR E CHAVEZ DR, MILWAUKEE, WI","{'lat': 43.02299, 'lng': -87.932991}",
87,182620014-Service in Progress,182620014,2018-09-19 00:24:25,"2305 W TRIPOLI AV,MKE",6,THEFT,Service in Progress,"2305 W TRIPOLI AV, MILWAUKEE, WI","{'lat': 42.974639, 'lng': -87.943766}",
88,182620037-Service in Progress,182620037,2018-09-19 00:24:11,"7616 W GOOD HOPE RD,MKE",4,BUSINESS CHECK,Service in Progress,"7616 W GOOD HOPE RD, MILWAUKEE, WI","{'lat': 43.149141, 'lng': -88.005759}",
89,182620036-Assignment Completed,182620036,2018-09-19 00:21:58,"3626 W FOND DU LAC AV,MKE",7,RETURN STATION,Assignment Completed,"3626 W FOND DU LAC AV,MILWAUKEE","{'lat': 43.077239, 'lng': -87.959228}",
90,182612739-Service in Progress,182612739,2018-09-19 00:20:34,"N 45TH ST / W HAMPTON AV,MKE",7,TRBL W/SUBJ,Service in Progress,"N 45TH ST & W HAMPTAV, MILWAUKEE, WI","{'lat': 43.081127, 'lng': -87.969906}",
91,182620035-Service in Progress,182620035,2018-09-19 00:20:26,"749 W STATE ST,MKE",1,FOLLOW UP,Service in Progress,"749 W STATE ST,MILWAUKEE","{'lat': 43.042662, 'lng': -87.920879}",
92,182612736-Service in Progress,182612736,2018-09-19 00:20:08,"4627 N 49TH ST,MKE",7,TRBL W/SUBJ,Service in Progress,"4627 N 49TH ST, MILWAUKEE, WI","{'lat': 43.101277, 'lng': -87.974699}",
93,182620026-Unable to Locate Complainant,182620026,2018-09-19 00:20:02,"S 6TH ST / W LAPHAM BL,MKE",2,BATTERY,Unable to Locate Complainant,"S 6TH ST & W LAPHAM BL, MILWAUKEE, WI","{'lat': 43.062117, 'lng': -87.91848}",
94,182620041-Assignment Completed,182620041,2018-09-19 00:26:42,"3626 W FOND DU LAC AV,MKE",7,RETURN STATION,Assignment Completed,"3626 W FOND DU LAC AV,MILWAUKEE","{'lat': 43.077239, 'lng': -87.959228}",
95,182620037-Assignment Completed,182620037,2018-09-19 00:24:11,"7616 W GOOD HOPE RD,MKE",4,BUSINESS CHECK,Assignment Completed,"7616 W GOOD HOPE RD, MILWAUKEE, WI","{'lat': 43.149141, 'lng': -88.005759}",
96,182612736-Unable to Locate Complainant,182612736,2018-09-19 00:20:08,"4627 N 49TH ST,MKE",7,TRBL W/SUBJ,Unable to Locate Complainant,"4627 N 49TH ST, MILWAUKEE, WI","{'lat': 43.101277, 'lng': -87.974699}",
97,182620029-Assignment Completed,182620029,2018-09-19 00:18:04,"3626 W FOND DU LAC AV,MKE",7,RETURN STATION,Assignment Completed,"3626 W FOND DU LAC AV,MILWAUKEE","{'lat': 43.077239, 'lng': -87.959228}",
98,182620025-Assignment Completed,182620025,2018-09-19 00:16:48,"3626 W FOND DU LAC AV,MKE",7,RETURN STATION,Assignment Completed,"3626 W FOND DU LAC AV,MILWAUKEE","{'lat': 43.077239, 'lng': -87.959228}",
99,182620021-Assignment Completed,182620021,2018-09-19 00:15:53,"4115 N 56TH ST,MKE",7,RETURN STATION,Assignment Completed,"4115 N 56TH ST,MILWAUKEE","{'lat': 43.091323, 'lng': -87.984621}",
100,182612642-Unable to Locate Complainant,182612642,2018-09-19 00:14:15,"3654 N 39TH ST,MKE",7,CALL FOR POLICE,Unable to Locate Complainant,"3654 N 39TH ST, MILWAUKEE, WI","{'lat': 43.083922, 'lng': -87.962054}",
101,182612811-Unable to Locate Complainant,182612811,2018-09-19 00:13:14,"5000 N 84TH ST,MKE",7,ACC PI,Unable to Locate Complainant,"5000 N 84TH ST, MILWAUKEE, WI","{'lat': 43.108774, 'lng': -88.01549}",
102,182620016-Assignment Completed,182620016,2018-09-19 00:10:43,"3006 S 27TH ST,MKE",6,CONVEY PROPERTY,Assignment Completed,"3006 S 27TH ST,MILWAUKEE","{'lat': 42.990377, 'lng': -87.947407}",
103,182612625-Unable to Locate Complainant,182612625,2018-09-18 23:41:23,"N 60TH ST / W BURLEIGH ST,MKE",7,TRAFFIC HAZARD,Unable to Locate Complainant,"N 60TH ST & W BURLEIGH ST,MILWAUKEE","{'lat': 43.073512, 'lng': -87.987358}",
104,182620051-Assignment Completed,182620051,2018-09-19 00:33:45,"W HAMPTON AV / N TEUTONIA AV,MKE",7,INVESTIGATION,Assignment Completed,"W HAMPTAV & N TEUTONIA AV, MILWAUKEE, WI","{'lat': 43.011264, 'lng': -87.958409}",
105,182620050-Service in Progress,182620050,2018-09-19 00:33:05,"2461 N TEUTONIA AV,MKE",3,TRAFFIC STOP,Service in Progress,"2461 N TEUTONIA AV, MILWAUKEE, WI","{'lat': 43.063441, 'lng': -87.928862}",
106,182612761-Unable to Locate Complainant,182612761,2018-09-19 00:33:03,"S 64TH ST / W MAIN ST,MKE",3,TRBL W/SUBJ,Unable to Locate Complainant,"S 64TH ST & W MAIN ST, MILWAUKEE, WI","{'lat': 43.026029, 'lng': -87.992435}",
107,182620049-Assignment Completed,182620049,2018-09-19 00:32:39,"3536 W FOND DU LAC AV,MKE",7,BUSINESS CHECK,Assignment Completed,"3536 W FOND DU LAC AV, MILWAUKEE, WI","{'lat': 43.076393, 'lng': -87.958029}",
108,182620034-Advised,182620034,2018-09-19 00:32:04,"2933 W NORTH AV,MKE",3,CALL FOR POLICE,Advised,"2933 W NORTH AV, MILWAUKEE, WI","{'lat': 43.060335, 'lng': -87.95077}",
109,182620009-Service in Progress,182620009,2018-09-19 00:31:08,"1230 N VAN BUREN ST,MKE",1,TRBL W/SUBJ,Service in Progress,"1230 N VAN BUREN ST, MILWAUKEE, WI","{'lat': 43.046331, 'lng': -87.903036}",
110,182612758-Unable to Locate Complainant,182612758,2018-09-19 00:30:58,"S 20TH ST / W ARROW ST,MKE",2,SUSP PERS/AUTO,Unable to Locate Complainant,"S 20TH ST & W ARROW ST, MILWAUKEE, WI","{'lat': 43.016012, 'lng': -87.93812}",
111,182620047-Service in Progress,182620047,2018-09-19 00:30:24,"6929 W SILVER SPRING DR,MKE",4,REPORTS,Service in Progress,"6929 W SILVER SPRING DR,MILWAUKEE","{'lat': 43.118893, 'lng': -87.998216}",
112,182620014-Advised,182620014,2018-09-19 00:24:25,"2305 W TRIPOLI AV,MKE",6,THEFT,Advised,"2305 W TRIPOLI AV, MILWAUKEE, WI","{'lat': 42.974639, 'lng': -87.943766}",
113,182612783-Advised,182612783,2018-09-19 00:16:10,"1631 W GRANT ST,MKE",2,RECKLESS VEHICLE,Advised,"1631 W GRANT ST, MILWAUKEE, WI","{'lat': 43.004556, 'lng': -87.934166}",
114,182620022-Assignment Completed,182620022,2018-09-19 00:16:07,"433 W ST PAUL AV,MKE",1,FOLLOW UP,Assignment Completed,"433 W ST PAUL AV,MILWAUKEE","{'lat': 43.034556, 'lng': -87.922107}",
115,182612774-Advised,182612774,2018-09-18 23:59:35,"1831 W NATIONAL AV,MKE",2,THEFT,Advised,"1831 W NATIONAL AV,MILWAUKEE","{'lat': 43.022486, 'lng': -87.936425}",
116,182620058-Service in Progress,182620058,2018-09-19 00:39:39,"245 W LINCOLN AV,MKE",2,RETURN STATION,Service in Progress,"245 W LINCOLN AV,MILWAUKEE","{'lat': 43.002354, 'lng': -87.913504}",
117,182620056-Advised,182620056,2018-09-19 00:35:31,"4600 N GREEN BAY AV,MKE",7,TRAFFIC STOP,Advised,"4600 N GREEN BAY AV, MILWAUKEE, WI","{'lat': 43.100275, 'lng': -87.928998}",
