,ID,Call Number,Date/Time,Location,Police District,Nature of Call,Status,Cleaned_Location,Coordinates,Error_Logging
26,182603096-Assignment Completed,182603096,2018-09-17 23:40:18,"2333 N 49TH ST,MKE",3,OUT OF SERVICE,Assignment Completed,"2333 N 49TH ST,MILWAUKEE","{'lat': 43.061433, 'lng': -87.975516}",
27,182603042-Advised/Referral,182603042,2018-09-17 23:24:29,"401 E CAPITOL DR,MKE",5,ESP TARGET ESCOR,Advised/Referral,"401 E CAPITOL DR,MILWAUKEE","{'lat': 43.08798, 'lng': -87.905979}",
28,182603109-Assignment Completed,182603109,2018-09-17 23:47:39,"S 2ND ST / W WASHINGTON ST,MKE",2,PARK AND WALK,Assignment Completed,"S 2ND ST & W WASHINGTST, MILWAUKEE, WI","{'lat': 43.020108, 'lng': -87.912644}",
29,182603102-Assignment Completed,182603102,2018-09-17 23:43:42,"749 W STATE ST,MKE",1,OUT OF SERVICE,Assignment Completed,"749 W STATE ST,MILWAUKEE","{'lat': 43.042662, 'lng': -87.920879}",
30,182603121-Assignment Completed,182603121,2018-09-17 23:54:31,"615 E BRADY ST,MKE",1,FOLLOW UP,Assignment Completed,"615 E BRADY ST, MILWAUKEE, WI","{'lat': 43.052716, 'lng': -87.904153}",
31,182603119-Assignment Completed,182603119,2018-09-17 23:53:27,"3626 W FOND DU LAC AV,MKE",7,RETURN STATION,Assignment Completed,"3626 W FOND DU LAC AV,MILWAUKEE","{'lat': 43.077239, 'lng': -87.959228}",
32,182603118-Service in Progress,182603118,2018-09-17 23:53:23,"N 64TH ST / W SILVER SPRING DR,MKE",4,TRAFFIC STOP,Service in Progress,"N 64TH ST & W SILVER SPRING DR, MILWAUKEE, WI","{'lat': 43.119405, 'lng': -87.991095}",
33,182603115-Advised,182603115,2018-09-17 23:51:44,"N JEFFERSON ST / E OGDEN AV,MKE",1,TRAFFIC STOP,Advised,"N JEFFERSST & E OGDEN AV, MILWAUKEE, WI","{'lat': 43.011264, 'lng': -87.958409}",
34,182603106-Service in Progress,182603106,2018-09-17 23:51:25,"N 60TH ST / W HAMPTON AV,MKE",7,ASSIGNMENT,Service in Progress,"N 60TH ST & W HAMPTAV, MILWAUKEE, WI","{'lat': 43.10207, 'lng': -87.986843}",
35,182603079-Advised,182603079,2018-09-17 23:33:41,"8001 W CRAWFORD AV,MKE",6,TRBL W/SUBJ-DV,Advised,"8001 W CRAWFORD AV, MILWAUKEE, WI","{'lat': 42.975253, 'lng': -88.013029}",
36,182603060-Advised,182603060,2018-09-17 23:18:41,"6200 W BIRCH AV,MKE",4,INVESTIGATION,Advised,"6200 W BIRCH AV, MILWAUKEE, WI","{'lat': 43.117412, 'lng': -87.988383}",
37,182602984-Service in Progress,182602984,2018-09-17 23:59:49,"3845 N 17TH ST,MKE",5,PROPERTY PICKUP,Service in Progress,"3845 N 17TH ST,MILWAUKEE","{'lat': 43.086925, 'lng': -87.932401}",
38,182603108-Assignment Completed,182603108,2018-09-17 23:59:36,"6407 N 54TH ST,MKE",4,SUSP PERS/AUTO,Assignment Completed,"6407 N 54TH ST, MILWAUKEE, WI","{'lat': 43.134273, 'lng': -87.979741}",
39,182603130-Assignment Completed,182603130,2018-09-17 23:58:57,"7023 W ADLER ST,MKE",3,TAVERN CHECK,Assignment Completed,"7023 W ADLER ST, MILWAUKEE, WI","{'lat': 43.028201, 'lng': -88.000593}",
40,182603129-Service in Progress,182603129,2018-09-17 23:58:40,"6929 W SILVER SPRING DR,MKE",4,ASSIGNMENT,Service in Progress,"6929 W SILVER SPRING DR,MILWAUKEE","{'lat': 43.118893, 'lng': -87.998216}",
41,182603128-Service in Progress,182603128,2018-09-17 23:58:33,"2333 N 49TH ST,MKE",3,RETURN STATION,Service in Progress,"2333 N 49TH ST,MILWAUKEE","{'lat': 43.061433, 'lng': -87.975516}",
42,182603123-Service in Progress,182603123,2018-09-17 23:56:39,"6929 W SILVER SPRING DR,MKE",4,REPORTS,Service in Progress,"6929 W SILVER SPRING DR,MILWAUKEE","{'lat': 43.118893, 'lng': -87.998216}",
43,182603122-Assignment Completed,182603122,2018-09-17 23:56:34,"6929 W SILVER SPRING DR,MKE",4,REPORTS,Assignment Completed,"6929 W SILVER SPRING DR,MILWAUKEE","{'lat': 43.118893, 'lng': -87.998216}",
44,182603069-Service in Progress,182603069,2018-09-17 23:55:32,"1929 N 38TH ST,MKE",3,TRBL W/SUBJ-DV,Service in Progress,"1929 N 38TH ST, MILWAUKEE, WI","{'lat': 43.055734, 'lng': -87.961421}",
45,182602986-Service in Progress,182602986,2018-09-17 23:55:09,"2301 N LAKE DR,MKE",1,ANIMAL BITE,Service in Progress,"2301 N LAKE DR,MILWAUKEE","{'lat': 43.061285, 'lng': -87.880087}",
46,182603060-Assignment Completed,182603060,2018-09-17 23:18:41,"6200 W BIRCH AV,MKE",4,INVESTIGATION,Assignment Completed,"6200 W BIRCH AV, MILWAUKEE, WI","{'lat': 43.117412, 'lng': -87.988383}",
47,182603056-Assignment Completed,182603056,2018-09-17 23:17:35,"700 S CESAR E CHAVEZ DR,MKE",2,PATROL,Assignment Completed,"700 S CESAR E CHAVEZ DR, MILWAUKEE, WI","{'lat': 43.024378, 'lng': -87.933039}",
48,182603058-Service in Progress,182603058,2018-09-18 00:04:56,"1567 S CESAR E CHAVEZ DR,MKE",2,PROPERTY DAMAGE,Service in Progress,"1567 S CESAR E CHAVEZ DR, MILWAUKEE, WI","{'lat': 43.014541, 'lng': -87.933241}",
49,182610008-Service in Progress,182610008,2018-09-18 00:04:33,"6400 W CAPITOL DR,MKE",7,TRAFFIC STOP,Service in Progress,"6400 W CAPITOL DR, MILWAUKEE, WI","{'lat': 43.090304, 'lng': -87.99216}",
50,182610005-Service in Progress,182610005,2018-09-18 00:03:57,"1560 W PIERCE ST,MKE",2,CALL FOR POLICE,Service in Progress,"1560 W PIERCE ST, MILWAUKEE, WI","{'lat': 43.024493, 'lng': -87.932199}",
51,182603125-Service in Progress,182603125,2018-09-18 00:01:48,"5333 W LEON TR,MKE",7,FAMILY TROUBL-DV,Service in Progress,"5333 W LETR, MILWAUKEE, WI","{'lat': 43.011264, 'lng': -87.958409}",
52,182610004-Service in Progress,182610004,2018-09-18 00:01:41,"134 E JUNEAU AV,MKE",1,TAVERN CHECK,Service in Progress,"134 E JUNEAU AV,MILWAUKEE","{'lat': 43.046043, 'lng': -87.911845}",
53,182603090-Service in Progress,182603090,2018-09-18 00:01:27,"10404 W KIEHNAU AV,MKE",4,TRBL W/SUBJ,Service in Progress,"10404 W KIEHNAU AV, MILWAUKEE, WI","{'lat': 43.137198, 'lng': -88.041563}",
54,182610003-Service in Progress,182610003,2018-09-18 00:01:02,"E JUNEAU AV / N EDISON ST,MKE",1,PARK AND WALK,Service in Progress,"E JUNEAU AVE & N EDISST,MILWAUKEE","{'lat': 43.045888, 'lng': -87.904915}",
55,182610002-Service in Progress,182610002,2018-09-18 00:00:47,"3626 W FOND DU LAC AV,MKE",7,ASSIGNMENT,Service in Progress,"3626 W FOND DU LAC AV,MILWAUKEE","{'lat': 43.077239, 'lng': -87.959228}",
56,182610001-Service in Progress,182610001,2018-09-18 00:00:36,"929 W HARRISON AV,MKE",2,TRAFFIC STOP,Service in Progress,"929 W HARRISAV, MILWAUKEE, WI","{'lat': 43.011264, 'lng': -87.958409}",
57,182610007-Unable to Locate Complainant,182610007,2018-09-18 00:09:35,"S 18TH ST / W NATIONAL AV,MKE",2,SOLICITING,Unable to Locate Complainant,"S 18TH ST & W NATIONAL AV,MILWAUKEE","{'lat': 43.022869, 'lng': -87.935539}",
58,182610015-Service in Progress,182610015,2018-09-18 00:09:33,"2333 N 49TH ST,MKE",3,RETURN STATION,Service in Progress,"2333 N 49TH ST,MILWAUKEE","{'lat': 43.061433, 'lng': -87.975516}",
59,182610014-Service in Progress,182610014,2018-09-18 00:09:03,"749 W STATE ST,MKE",1,SPECIAL ASSIGN,Service in Progress,"749 W STATE ST,MILWAUKEE","{'lat': 43.042662, 'lng': -87.920879}",
60,182603112-Service in Progress,182603112,2018-09-18 00:08:42,"2651 N 49TH ST,MKE",3,ENTRY,Service in Progress,"2651 N 49TH ST, MILWAUKEE, WI","{'lat': 43.067243, 'lng': -87.975219}",
61,182603110-Service in Progress,182603110,2018-09-18 00:08:41,"2625 W NATIONAL AV,MKE",2,RECK USE OF WEAP,Service in Progress,"2625 W NATIONAL AV,MILWAUKEE","{'lat': 43.021839, 'lng': -87.946988}",
62,182603063-Service in Progress,182603063,2018-09-18 00:07:23,"536 W LAPHAM BL,MKE",2,THEFT,Service in Progress,"536 W LAPHAM BL, MILWAUKEE, WI","{'lat': 43.014429, 'lng': -87.917919}",
63,182610012-Assignment Completed,182610012,2018-09-18 00:07:17,"5600 W CAPITOL DR,MKE",7,RETURN STATION,Assignment Completed,"5600 W CAPITOL DR,MILWAUKEE","{'lat': 43.089303, 'lng': -88.052286}",
64,182603098-Service in Progress,182603098,2018-09-18 00:07:10,"3882 N 19TH ST,MKE",5,FIGHT,Service in Progress,"3882 N 19TH ST, MILWAUKEE, WI","{'lat': 43.087716, 'lng': -87.934038}",
65,182610010-Assignment Completed,182610010,2018-09-18 00:05:36,"5600 W CAPITOL DR,MKE",7,RETURN STATION,Assignment Completed,"5600 W CAPITOL DR,MILWAUKEE","{'lat': 43.089303, 'lng': -88.052286}",
66,182610008-Advised,182610008,2018-09-18 00:04:33,"6400 W CAPITOL DR,MKE",7,TRAFFIC STOP,Advised,"6400 W CAPITOL DR, MILWAUKEE, WI","{'lat': 43.090304, 'lng': -87.99216}",
67,182610005-Unable to Locate Complainant,182610005,2018-09-18 00:03:57,"1560 W PIERCE ST,MKE",2,CALL FOR POLICE,Unable to Locate Complainant,"1560 W PIERCE ST, MILWAUKEE, WI","{'lat': 43.024493, 'lng': -87.932199}",
68,182603129-Assignment Completed,182603129,2018-09-17 23:58:40,"6929 W SILVER SPRING DR,MKE",4,ASSIGNMENT,Assignment Completed,"6929 W SILVER SPRING DR,MILWAUKEE","{'lat': 43.118893, 'lng': -87.998216}",
69,182603027-To be Filed,182603027,2018-09-17 23:20:12,"3200 S 48TH ST,MKE",6,THEFT,To be Filed,"3200 S 48TH ST, MILWAUKEE, WI","{'lat': 42.986441, 'lng': -87.973703}",
70,182603131-Unable to Locate Complainant,182603131,2018-09-18 00:12:21,"2800 W ELDER WALLACE DR,MKE",5,ENTRY,Unable to Locate Complainant,"2800 W ELDER WALLACE DR, MILWAUKEE, WI","{'lat': 43.069575, 'lng': -87.948611}",
71,182610018-Assignment Completed,182610018,2018-09-18 00:12:17,"3006 S 27TH ST,MKE",6,RETURN STATION,Assignment Completed,"3006 S 27TH ST,MILWAUKEE","{'lat': 42.990377, 'lng': -87.947407}",
72,182603125-Advised,182603125,2018-09-18 00:01:48,"5317 W LEON TR,MKE",7,FAMILY TROUBL-DV,Advised,"5317 W LETR, MILWAUKEE, WI","{'lat': 43.011264, 'lng': -87.958409}",
73,182603108-Unable to Locate Complainant,182603108,2018-09-17 23:59:36,"6407 N 54TH ST,MKE",4,SUSP PERS/AUTO,Unable to Locate Complainant,"6407 N 54TH ST, MILWAUKEE, WI","{'lat': 43.134273, 'lng': -87.979741}",
74,182603128-Assignment Completed,182603128,2018-09-17 23:58:33,"2333 N 49TH ST,MKE",3,RETURN STATION,Assignment Completed,"2333 N 49TH ST,MILWAUKEE","{'lat': 43.061433, 'lng': -87.975516}",
75,182603092-Advised/Referral,182603092,2018-09-17 23:40:47,"9245 N BURBANK AV,MKE",4,SUBJ WITH WEAPON,Advised/Referral,"9245 N BURBANK AV, MILWAUKEE, WI","{'lat': 43.18574, 'lng': -88.015228}",
76,182610013-Service in Progress,182610013,2018-09-18 00:17:37,"9099 W DEAN RD,MKE",4,SUSP PERS/AUTO,Service in Progress,"9099 W DEAN RD, MILWAUKEE, WI","{'lat': 43.169339, 'lng': -88.023026}",
77,182610016-Service in Progress,182610016,2018-09-18 00:16:32,"5550 N 54TH ST,MKE",4,SUBJ W/WEAPON-DV,Service in Progress,"5550 N 54TH ST, MILWAUKEE, WI","{'lat': 43.118613, 'lng': -87.979496}",
78,182610020-Assignment Completed,182610020,2018-09-18 00:16:24,"6901 W CAPITOL DR,MKE",7,BUSINESS CHECK,Assignment Completed,"6901 W CAPITOL DR, MILWAUKEE, WI","{'lat': 43.089605, 'lng': -87.998445}",
79,182610019-Assignment Completed,182610019,2018-09-18 00:16:03,"4847 N 76TH ST,MKE",7,BUSINESS CHECK,Assignment Completed,"4847 N 76TH ST, MILWAUKEE, WI","{'lat': 43.105883, 'lng': -88.00718}",
80,182610030-Assignment Completed,182610030,2018-09-18 00:23:41,"6311 S 13TH ST,MKE",6,BUSINESS CHECK,Assignment Completed,"6311 S 13TH ST, MILWAUKEE, WI","{'lat': 42.929839, 'lng': -87.930592}",
81,182610029-Service in Progress,182610029,2018-09-18 00:22:23,"2333 N 49TH ST,MKE",3,RETURN STATION,Service in Progress,"2333 N 49TH ST,MILWAUKEE","{'lat': 43.061433, 'lng': -87.975516}",
82,182610028-Advised,182610028,2018-09-18 00:21:15,"8100 W CAPITOL DR,MKE",7,TRAFFIC STOP,Advised,"8100 W CAPITOL DR, MILWAUKEE, WI","{'lat': 43.090513, 'lng': -88.014401}",
83,182610022-Assignment Completed,182610022,2018-09-18 00:20:43,"2605 W PLAINFIELD AV,MKE",6,FIRE,Assignment Completed,"2605 W PLAINFIELD AV, MILWAUKEE, WI","{'lat': 42.968593, 'lng': -87.94748}",
84,182610027-Service in Progress,182610027,2018-09-18 00:20:42,"749 W STATE ST,MKE",1,REPORTS,Service in Progress,"749 W STATE ST,MILWAUKEE","{'lat': 43.042662, 'lng': -87.920879}",
85,182610024-Service in Progress,182610024,2018-09-18 00:20:18,"1331 W NORTH AV,MKE",3,NON PURSUIT,Service in Progress,"1331 W NORTH AV, MILWAUKEE, WI","{'lat': 43.06025, 'lng': -87.928657}",
86,182610023-Service in Progress,182610023,2018-09-18 00:20:12,"1300 E BRADY ST,MKE",1,PARK AND WALK,Service in Progress,"1300 E BRADY ST,MILWAUKEE","{'lat': 43.05317, 'lng': -87.894474}",
87,182603110-Advised/Referral,182603110,2018-09-18 00:08:41,"2625 W NATIONAL AV,MKE",2,RECK USE OF WEAP,Advised/Referral,"2625 W NATIONAL AV,MILWAUKEE","{'lat': 43.021839, 'lng': -87.946988}",
88,182610039-Service in Progress,182610039,2018-09-18 00:29:34,"949 N 9TH ST,MKE",1,FOLLOW UP,Service in Progress,"949 N 9TH ST,MILWAUKEE","{'lat': 43.041733, 'lng': -87.923662}",
89,182610038-Service in Progress,182610038,2018-09-18 00:29:07,"245 W LINCOLN AV,MKE",2,REPORTS,Service in Progress,"245 W LINCOLN AV,MILWAUKEE","{'lat': 43.002354, 'lng': -87.913504}",
90,182610035-Assignment Completed,182610035,2018-09-18 00:27:01,"749 W STATE ST,MKE",1,RETURN STATION,Assignment Completed,"749 W STATE ST,MILWAUKEE","{'lat': 43.042662, 'lng': -87.920879}",
91,182610034-Service in Progress,182610034,2018-09-18 00:26:15,"245 W LINCOLN AV,MKE",2,RETURN STATION,Service in Progress,"245 W LINCOLN AV,MILWAUKEE","{'lat': 43.002354, 'lng': -87.913504}",
92,182610021-Service in Progress,182610021,2018-09-18 00:26:00,"3050 N 41ST ST,MKE",7,ENTRY,Service in Progress,"3050 N 41ST ST, MILWAUKEE, WI","{'lat': 43.074476, 'lng': -87.964019}",
93,182610032-Assignment Completed,182610032,2018-09-18 00:25:29,"3301 N OAKLAND AV,MKE",1,BUSINESS CHECK,Assignment Completed,"3301 N OAKLAND AV,MILWAUKEE","{'lat': 43.077824, 'lng': -87.888065}",
94,182610025-Service in Progress,182610025,2018-09-18 00:25:08,"4534 N 58TH ST,MKE",7,WELFARE CITIZEN,Service in Progress,"4534 N 58TH ST, MILWAUKEE, WI","{'lat': 43.099988, 'lng': -87.984942}",
95,182610031-Service in Progress,182610031,2018-09-18 00:25:06,"200 N MILWAUKEE ST,MKE",1,PATROL,Service in Progress,"200 N MILWAUKEE ST, MILWAUKEE, WI","{'lat': 43.03316, 'lng': -87.90518}",
96,182610027-Assignment Completed,182610027,2018-09-18 00:20:42,"749 W STATE ST,MKE",1,REPORTS,Assignment Completed,"749 W STATE ST,MILWAUKEE","{'lat': 43.042662, 'lng': -87.920879}",
97,182603058-To be Filed,182603058,2018-09-18 00:04:56,"1567 S CESAR E CHAVEZ DR,MKE",2,PROPERTY DAMAGE,To be Filed,"1567 S CESAR E CHAVEZ DR, MILWAUKEE, WI","{'lat': 43.014541, 'lng': -87.933241}",
98,182610042-Service in Progress,182610042,2018-09-18 00:34:17,"4242 N 92ND ST,MKE",7,FAMILY TROUBL-DV,Service in Progress,"4242 N 92ND ST, MILWAUKEE, WI","{'lat': 43.094337, 'lng': -88.027151}",
99,182610045-Assignment Completed,182610045,2018-09-18 00:32:24,"350 N PLANKINTON AV,MKE",1,BUSINESS CHECK,Assignment Completed,"350 N PLANKINTAV,MILWAUKEE","{'lat': 43.034331, 'lng': -87.91083}",
100,182610043-Service in Progress,182610043,2018-09-18 00:31:11,"3224 S 16TH ST,MKE",6,HOSPITAL TO MCMH,Service in Progress,"3224 S 16TH ST,MILWAUKEE","{'lat': 42.985932, 'lng': -87.933388}",
101,182610031-Assignment Completed,182610031,2018-09-18 00:25:06,"200 N MILWAUKEE ST,MKE",1,PATROL,Assignment Completed,"200 N MILWAUKEE ST, MILWAUKEE, WI","{'lat': 43.03316, 'lng': -87.90518}",
102,182610024-To be Filed,182610024,2018-09-18 00:20:18,"1331 W NORTH AV,MKE",3,NON PURSUIT,To be Filed,"1331 W NORTH AV, MILWAUKEE, WI","{'lat': 43.06025, 'lng': -87.928657}",
103,182610023-Assignment Completed,182610023,2018-09-18 00:20:12,"1300 E BRADY ST,MKE",1,PARK AND WALK,Assignment Completed,"1300 E BRADY ST,MILWAUKEE","{'lat': 43.05317, 'lng': -87.894474}",
104,182610013-Assignment Completed,182610013,2018-09-18 00:17:37,"9099 W DEAN RD,MKE",4,SUSP PERS/AUTO,Assignment Completed,"9099 W DEAN RD, MILWAUKEE, WI","{'lat': 43.169339, 'lng': -88.023026}",
105,182610016-Advised/Referral,182610016,2018-09-18 00:16:32,"5550 N 54TH ST,MKE",4,SUBJ W/WEAPON-DV,Advised/Referral,"5550 N 54TH ST, MILWAUKEE, WI","{'lat': 43.118613, 'lng': -87.979496}",
106,182603112-Advised/Referral,182603112,2018-09-18 00:08:42,"2651 N 49TH ST,MKE",3,SUSP PERS/AUTO,Advised/Referral,"2651 N 49TH ST, MILWAUKEE, WI","{'lat': 43.067243, 'lng': -87.975219}",
107,182602986-Open Investigation,182602986,2018-09-17 23:55:09,"2301 N LAKE DR,MKE",1,ANIMAL BITE,Open Investigation,"2301 N LAKE DR,MILWAUKEE","{'lat': 43.061285, 'lng': -87.880087}",
108,182610056-Advised,182610056,2018-09-18 00:39:17,"3511 N 20TH ST,MKE",5,TRAFFIC STOP,Advised,"3511 N 20TH ST, MILWAUKEE, WI","{'lat': 43.082603, 'lng': -87.937358}",
109,182610051-Assignment Completed,182610051,2018-09-18 00:36:11,"8207 W BROWN DEER RD,MKE",4,BUSINESS CHECK,Assignment Completed,"8207 W BROWN DEER RD,MILWAUKEE","{'lat': 43.176262, 'lng': -88.012322}",
110,182610050-Assignment Completed,182610050,2018-09-18 00:36:07,"8602 W BROWN DEER RD,MKE",4,BUSINESS CHECK,Assignment Completed,"8602 W BROWN DEER RD, MILWAUKEE, WI","{'lat': 43.177814, 'lng': -88.016861}",
111,182610037-Advised,182610037,2018-09-18 00:35:55,"2933 N BUFFUM ST,MKE",5,PROPERTY DAMAGE,Advised,"2933 N BUFFUM ST, MILWAUKEE, WI","{'lat': 43.071912, 'lng': -87.906772}",
112,182610064-Assignment Completed,182610064,2018-09-18 00:43:48,"3869 S 84TH ST,MKE",6,BUSINESS CHECK,Assignment Completed,"3869 S 84TH ST,MILWAUKEE","{'lat': 42.974045, 'lng': -88.018181}",
113,182610063-Service in Progress,182610063,2018-09-18 00:43:41,"2059 N 31ST ST,MKE",3,SHOTSPOTTER,Service in Progress,"2059 N 31ST ST, MILWAUKEE, WI","{'lat': 43.057736, 'lng': -87.952753}",
114,182610060-Unable to Locate Complainant,182610060,2018-09-18 00:43:26,"N SWAN RD / W BROWN DEER RD,MKE",4,SUSPICIOUS-OTH,Unable to Locate Complainant,"N SWAN RD & W BROWN DEER RD,MILWAUKEE","{'lat': 43.177599, 'lng': -88.024343}",
115,182610017-Advised,182610017,2018-09-18 00:43:18,"5666 N 37TH ST,MKE",4,TRBL W/SUBJ,Advised,"5666 N 37TH ST, MILWAUKEE, WI","{'lat': 43.120731, 'lng': -87.95823}",
116,182610062-Service in Progress,182610062,2018-09-18 00:43:16,"5400 S 7TH ST,MKE",6,PATROL,Service in Progress,"5400 S 7TH ST, MILWAUKEE, WI","{'lat': 42.94676, 'lng': -87.920447}",
117,182610057-Service in Progress,182610057,2018-09-18 00:42:59,"658 S 64TH ST,MKE",3,SUBJ WITH GUN,Service in Progress,"658 S 64TH ST, MILWAUKEE, WI","{'lat': 43.024678, 'lng': -87.992005}",
118,182610040-Advised,182610040,2018-09-18 00:42:05,"3476 N 2ND ST,MKE",5,FAMILY TROUBLE,Advised,"3476 N 2ND ST, MILWAUKEE, WI","{'lat': 43.081715, 'lng': -87.912305}",
119,182610054-Service in Progress,182610054,2018-09-18 00:41:10,"2756 N 45TH ST,MKE",7,SUSP PERS/AUTO,Service in Progress,"2756 N 45TH ST, MILWAUKEE, WI","{'lat': 43.069151, 'lng': -87.969518}",
