,ID,Call Number,Date/Time,Location,Police District,Nature of Call,Status,Cleaned_Location,Coordinates,Error_Logging
39,182592688-Unable to Locate Complainant,182592688,2018-09-16 23:41:43,"N 9TH ST / W SOMERS ST,MKE",5,SHOTS FIRED,Unable to Locate Complainant,"N 9TH ST & W SOMERS ST, MILWAUKEE, WI","{'lat': 43.050024, 'lng': -87.922559}",
40,182592716-Advised,182592716,2018-09-17 00:03:51,"S 22ND ST / W WILBUR AV,MKE",6,SUSP PERS/AUTO,Advised,"S 22ND ST & W WILBUR AV, MILWAUKEE, WI","{'lat': 42.977525, 'lng': -87.942345}",
41,182592715-Service in Progress,182592715,2018-09-17 00:03:50,"N 20TH ST / W STATE ST,MKE",3,RECK USE OF WEAP,Service in Progress,"N 20TH ST & W STATE ST, MILWAUKEE, WI","{'lat': 43.04323, 'lng': -87.937841}",
42,182592662-Service in Progress,182592662,2018-09-17 00:03:23,"6909 N 42ND ST,MKE",4,WELFARE CITIZEN,Service in Progress,"6909 N 42ND ST, MILWAUKEE, WI","{'lat': 43.143272, 'lng': -87.964662}",
43,182592636-Service in Progress,182592636,2018-09-17 00:02:38,"5917 N 71ST ST,MKE",4,CALL FOR POLICE,Service in Progress,"5917 N 71ST ST, MILWAUKEE, WI","{'lat': 43.125264, 'lng': -87.999824}",
44,182600003-Assignment Completed,182600003,2018-09-17 00:02:33,"1400 E BRADY ST,MKE",1,BUSINESS CHECK,Assignment Completed,"1400 E BRADY ST,MILWAUKEE","{'lat': 43.05327, 'lng': -87.893025}",
45,182592697-Service in Progress,182592697,2018-09-17 00:01:39,"7675 N 76TH ST,MKE",4,TRBL W/JUV,Service in Progress,"7675 N 76TH ST, MILWAUKEE, WI","{'lat': 43.157684, 'lng': -88.005438}",
46,182600001-Advised,182600001,2018-09-17 00:00:35,"400 W FRESHWATER WA,MKE",1,TRAFFIC STOP,Advised,"400 W FRESHWATER WA, MILWAUKEE, WI","{'lat': 43.011264, 'lng': -87.958409}",
47,182592665-Service in Progress,182592665,2018-09-17 00:09:50,"4568 S 20TH ST,MKE",6,NOISE NUISANCE,Service in Progress,"4568 S 20TH ST, MILWAUKEE, WI","{'lat': 42.96099, 'lng': -87.937207}",
48,182600007-Assignment Completed,182600007,2018-09-17 00:09:11,"855 W LAYTON AV,MKE",6,BUSINESS CHECK,Assignment Completed,"855 W LAYTAV,MILWAUKEE","{'lat': 43.011264, 'lng': -87.958409}",
49,182592649-Service in Progress,182592649,2018-09-17 00:09:07,"1820 S 18TH ST,MKE",2,INJ PERSON/SICK,Service in Progress,"1820 S 18TH ST, MILWAUKEE, WI","{'lat': 43.010772, 'lng': -87.934957}",
50,182592714-Unable to Locate Complainant,182592714,2018-09-17 00:08:31,"2920 N RICHARDS ST,MKE",5,NOISE NUISANCE,Unable to Locate Complainant,"2920 N RICHARDS ST, MILWAUKEE, WI","{'lat': 43.071632, 'lng': -87.907303}",
51,182600005-Service in Progress,182600005,2018-09-17 00:08:07,"3445 N 96TH ST,MKE",7,SUSP PERS/AUTO,Service in Progress,"3445 N 96TH ST,MILWAUKEE","{'lat': 43.081478, 'lng': -88.032405}",
52,182592719-Service in Progress,182592719,2018-09-17 00:07:26,"4614 N 41ST ST,MKE",7,SUSP PERS/AUTO,Service in Progress,"4614 N 41ST ST, MILWAUKEE, WI","{'lat': 43.101164, 'lng': -87.963506}",
53,182600002-Service in Progress,182600002,2018-09-17 00:07:24,"4231 N 27TH ST,MKE",5,WELFARE CITIZEN,Service in Progress,"4231 N 27TH ST, MILWAUKEE, WI","{'lat': 43.093679, 'lng': -87.947248}",
54,182592692-Service in Progress,182592692,2018-09-17 00:06:41,"140 S HAWLEY RD,MKE",3,RECKLESS VEHICLE,Service in Progress,"140 S HAWLEY RD, MILWAUKEE, WI","{'lat': 43.03098, 'lng': -87.986361}",
55,182600004-Assignment Completed,182600004,2018-09-17 00:05:19,"6929 W SILVER SPRING DR,MKE",4,SUBJ WITH GUN,Assignment Completed,"6929 W SILVER SPRING DR,MILWAUKEE","{'lat': 43.118893, 'lng': -87.998216}",
56,182600013-Assignment Completed,182600013,2018-09-17 00:12:35,"4115 N 56TH ST,MKE",7,RETURN STATION,Assignment Completed,"4115 N 56TH ST,MILWAUKEE","{'lat': 43.091323, 'lng': -87.984621}",
57,182600011-Service in Progress,182600011,2018-09-17 00:12:17,"749 W STATE ST,MKE",1,CONVEY PROPERTY,Service in Progress,"749 W STATE ST,MILWAUKEE","{'lat': 43.042662, 'lng': -87.920879}",
58,182600010-Service in Progress,182600010,2018-09-17 00:11:58,"3500 N 76TH ST,MKE",7,MEET GOVT AGENCY,Service in Progress,"3500 N 76TH ST, MILWAUKEE, WI","{'lat': 42.981165, 'lng': -88.007809}",
59,182600008-Service in Progress,182600008,2018-09-17 00:11:05,"7320 W CAPITOL DR,MKE",7,HOLDUP ALARM,Service in Progress,"7320 W CAPITOL DR, MILWAUKEE, WI","{'lat': 43.090293, 'lng': -88.003682}",
60,182592661-Service in Progress,182592661,2018-09-17 00:10:18,"2812 N 5TH ST,MKE",5,TRBL W/SUBJ,Service in Progress,"2812 N 5TH ST, MILWAUKEE, WI","{'lat': 43.069807, 'lng': -87.916162}",
61,182592649-Unable to Locate Complainant,182592649,2018-09-17 00:09:07,"1820 S 18TH ST,MKE",2,INJ PERSON/SICK,Unable to Locate Complainant,"1820 S 18TH ST, MILWAUKEE, WI","{'lat': 43.010772, 'lng': -87.934957}",
62,182592691-Unable to Locate Complainant,182592691,2018-09-16 23:40:28,"1212 W VINE ST,MKE",3,SHOTSPOTTER,Unable to Locate Complainant,"1212 W VINE ST, MILWAUKEE, WI","{'lat': 43.054134, 'lng': -87.927534}",
63,182600034-Service in Progress,182600034,2018-09-17 00:19:55,"3006 S 27TH ST,MKE",6,REPORTS,Service in Progress,"3006 S 27TH ST,MILWAUKEE","{'lat': 42.990377, 'lng': -87.947407}",
64,182600033-Service in Progress,182600033,2018-09-17 00:19:36,"3006 S 27TH ST,MKE",6,REPORTS,Service in Progress,"3006 S 27TH ST,MILWAUKEE","{'lat': 42.990377, 'lng': -87.947407}",
65,182592667-Unable to Locate Complainant,182592667,2018-09-17 00:19:16,"6638 N 76TH ST,MKE",4,CALL FOR POLICE,Unable to Locate Complainant,"6638 N 76TH ST,MILWAUKEE","{'lat': 43.138475, 'lng': -88.005416}",
66,182600031-Assignment Completed,182600031,2018-09-17 00:17:44,"1401 W MITCHELL ST,MKE",2,BUSINESS CHECK,Assignment Completed,"1401 W MITCHELL ST,MILWAUKEE","{'lat': 43.012018, 'lng': -87.929775}",
67,182600016-Service in Progress,182600016,2018-09-17 00:17:36,"2824 N 38TH ST,MKE",7,SHOTSPOTTER,Service in Progress,"2824 N 38TH ST, MILWAUKEE, WI","{'lat': 43.070296, 'lng': -87.96054}",
68,182600028-Unable to Locate Complainant,182600028,2018-09-17 00:17:36,"2431 N 38TH ST,MKE",3,SHOTSPOTTER,Unable to Locate Complainant,"2431 N 38TH ST, MILWAUKEE, WI","{'lat': 43.063142, 'lng': -87.961315}",
69,182600029-Service in Progress,182600029,2018-09-17 00:17:22,"749 W STATE ST,MKE",1,REPORTS,Service in Progress,"749 W STATE ST,MILWAUKEE","{'lat': 43.042662, 'lng': -87.920879}",
70,182600027-Advised,182600027,2018-09-17 00:16:45,"N 32ND ST / W WELLS ST,MKE",3,TRBL W/SUBJ,Advised,"N 32ND ST & W WELLS ST, MILWAUKEE, WI","{'lat': 43.040292, 'lng': -87.954381}",
71,182600026-Assignment Completed,182600026,2018-09-17 00:16:31,"3626 W FOND DU LAC AV,MKE",7,RETURN STATION,Assignment Completed,"3626 W FOND DU LAC AV,MILWAUKEE","{'lat': 43.077239, 'lng': -87.959228}",
72,182600012-Unable to Locate Complainant,182600012,2018-09-17 00:16:20,"2829 N 37TH ST,MKE",7,SHOTSPOTTER,Unable to Locate Complainant,"2829 N 37TH ST, MILWAUKEE, WI","{'lat': 43.070405, 'lng': -87.96002}",
73,182600025-Service in Progress,182600025,2018-09-17 00:16:16,"245 W LINCOLN AV,MKE",2,RETURN STATION,Service in Progress,"245 W LINCOLN AV,MILWAUKEE","{'lat': 43.002354, 'lng': -87.913504}",
74,182600023-Assignment Completed,182600023,2018-09-17 00:15:55,"6929 W SILVER SPRING DR,MKE",4,RETURN STATION,Assignment Completed,"6929 W SILVER SPRING DR,MILWAUKEE","{'lat': 43.118893, 'lng': -87.998216}",
75,182600022-Service in Progress,182600022,2018-09-17 00:15:45,"245 W LINCOLN AV,MKE",2,REPORTS,Service in Progress,"245 W LINCOLN AV,MILWAUKEE","{'lat': 43.002354, 'lng': -87.913504}",
76,182600005-Assignment Completed,182600005,2018-09-17 00:08:07,"3445 N 96TH ST,MKE",7,SUSP PERS/AUTO,Assignment Completed,"3445 N 96TH ST,MILWAUKEE","{'lat': 43.081478, 'lng': -88.032405}",
77,182600002-Assignment Completed,182600002,2018-09-17 00:07:24,"4231 N 27TH ST,MKE",5,WELFARE CITIZEN,Assignment Completed,"4231 N 27TH ST, MILWAUKEE, WI","{'lat': 43.093679, 'lng': -87.947248}",
78,182600038-Service in Progress,182600038,2018-09-17 00:24:54,"3006 S 27TH ST,MKE",6,REPORTS,Service in Progress,"3006 S 27TH ST,MILWAUKEE","{'lat': 42.990377, 'lng': -87.947407}",
79,182600036-Service in Progress,182600036,2018-09-17 00:23:18,"2333 N 49TH ST,MKE",3,RETURN STATION,Service in Progress,"2333 N 49TH ST,MILWAUKEE","{'lat': 43.061433, 'lng': -87.975516}",
80,182600025-Assignment Completed,182600025,2018-09-17 00:16:16,"245 W LINCOLN AV,MKE",2,RETURN STATION,Assignment Completed,"245 W LINCOLN AV,MILWAUKEE","{'lat': 43.002354, 'lng': -87.913504}",
81,182592665-Advised,182592665,2018-09-17 00:09:50,"4568 S 20TH ST,MKE",6,NOISE NUISANCE,Advised,"4568 S 20TH ST, MILWAUKEE, WI","{'lat': 42.96099, 'lng': -87.937207}",
82,182600005-Unable to Locate Complainant,182600005,2018-09-17 00:08:07,"3445 N 96TH ST,MKE",7,SUSP PERS/AUTO,Unable to Locate Complainant,"3445 N 96TH ST,MILWAUKEE","{'lat': 43.081478, 'lng': -88.032405}",
83,182592715-Unable to Locate Complainant,182592715,2018-09-17 00:03:50,"N 20TH ST / W STATE ST,MKE",3,RECK USE OF WEAP,Unable to Locate Complainant,"N 20TH ST & W STATE ST, MILWAUKEE, WI","{'lat': 43.04323, 'lng': -87.937841}",
84,182600043-Service in Progress,182600043,2018-09-17 00:29:19,"5426 S 7TH ST,MKE",6,PATROL,Service in Progress,"5426 S 7TH ST, MILWAUKEE, WI","{'lat': 42.946083, 'lng': -87.920452}",
85,182600041-Assignment Completed,182600041,2018-09-17 00:28:21,"245 W LINCOLN AV,MKE",2,RETURN STATION,Assignment Completed,"245 W LINCOLN AV,MILWAUKEE","{'lat': 43.002354, 'lng': -87.913504}",
86,182600039-Service in Progress,182600039,2018-09-17 00:28:06,"1400 E BRADY ST,MKE",1,SHOPLIFTER,Service in Progress,"1400 E BRADY ST,MILWAUKEE","{'lat': 43.05327, 'lng': -87.893025}",
87,182600015-Service in Progress,182600015,2018-09-17 00:34:03,"2148 N HOLTON ST,MKE",5,FAMILY TROUBLE,Service in Progress,"2148 N HOLTST, MILWAUKEE, WI","{'lat': 43.011264, 'lng': -87.958409}",
88,182600047-Unable to Locate Complainant,182600047,2018-09-17 00:33:53,"2601 N 35TH ST,MKE",3,CALL FOR POLICE,Unable to Locate Complainant,"2601 N 35TH ST, MILWAUKEE, WI","{'lat': 43.066242, 'lng': -87.957691}",
89,182592170-Unable to Locate Complainant,182592170,2018-09-17 00:32:47,"N 63RD ST / W VILLARD AV,MKE",7,STOLEN VEHICLE,Unable to Locate Complainant,"N 63RD ST & W VILLARD AV, MILWAUKEE, WI","{'lat': 43.112082, 'lng': -87.989916}",
90,182600030-Unable to Locate Complainant,182600030,2018-09-17 00:32:00,"N 39TH ST / W CHERRY ST,MKE",3,TRBL W/SUBJ,Unable to Locate Complainant,"N 39TH ST & W CHERRY ST, MILWAUKEE, WI","{'lat': 43.050142, 'lng': -87.961941}",
91,182600037-Service in Progress,182600037,2018-09-17 00:31:22,"2258 S 17TH ST,MKE",2,CALL FOR POLICE,Service in Progress,"2258 S 17TH ST, MILWAUKEE, WI","{'lat': 43.003401, 'lng': -87.934058}",
92,182592654-Advised,182592654,2018-09-17 00:30:19,"2720 N FREDERICK AV,MKE",1,NOISE NUISANCE,Advised,"2720 N FREDERICK AV, MILWAUKEE, WI","{'lat': 43.067948, 'lng': -87.883569}",
93,182600044-Service in Progress,182600044,2018-09-17 00:30:17,"1311 E KANE PL,MKE",1,TRAFFIC STOP,Service in Progress,"1311 E KANE PL, MILWAUKEE, WI","{'lat': 43.055871, 'lng': -87.894395}",
94,182600043-Assignment Completed,182600043,2018-09-17 00:29:19,"5426 S 7TH ST,MKE",6,PATROL,Assignment Completed,"5426 S 7TH ST, MILWAUKEE, WI","{'lat': 42.946083, 'lng': -87.920452}",
95,182600016-To be Filed,182600016,2018-09-17 00:17:36,"2824 N 38TH ST,MKE",7,SHOTSPOTTER,To be Filed,"2824 N 38TH ST, MILWAUKEE, WI","{'lat': 43.070296, 'lng': -87.96054}",
96,182600008-Advised/Referral,182600008,2018-09-17 00:11:05,"7320 W CAPITOL DR,MKE",7,HOLDUP ALARM,Advised/Referral,"7320 W CAPITOL DR, MILWAUKEE, WI","{'lat': 43.090293, 'lng': -88.003682}",
97,182592719-Advised,182592719,2018-09-17 00:07:26,"4614 N 41ST ST,MKE",7,SUSP PERS/AUTO,Advised,"4614 N 41ST ST, MILWAUKEE, WI","{'lat': 43.101164, 'lng': -87.963506}",
98,182592692-Unable to Locate Complainant,182592692,2018-09-17 00:06:41,"140 S HAWLEY RD,MKE",3,RECKLESS VEHICLE,Unable to Locate Complainant,"140 S HAWLEY RD, MILWAUKEE, WI","{'lat': 43.03098, 'lng': -87.986361}",
99,182600004-To be Filed,182600004,2018-09-17 00:05:19,"6929 W SILVER SPRING DR,MKE",4,SUBJ WITH GUN,To be Filed,"6929 W SILVER SPRING DR,MILWAUKEE","{'lat': 43.118893, 'lng': -87.998216}",
100,182592662-Unable to Locate Complainant,182592662,2018-09-17 00:03:23,"6909 N 42ND ST,MKE",4,WELFARE CITIZEN,Unable to Locate Complainant,"6909 N 42ND ST, MILWAUKEE, WI","{'lat': 43.143272, 'lng': -87.964662}",
101,182592636-Unable to Locate Complainant,182592636,2018-09-17 00:02:38,"5917 N 71ST ST,MKE",4,CALL FOR POLICE,Unable to Locate Complainant,"5917 N 71ST ST, MILWAUKEE, WI","{'lat': 43.125264, 'lng': -87.999824}",
102,182600049-Assignment Completed,182600049,2018-09-17 00:35:17,"800 E LAYTON AV,MKE",6,BUSINESS CHECK,Assignment Completed,"800 E LAYTAV,MILWAUKEE","{'lat': 43.082018, 'lng': -87.889534}",
103,182600036-Assignment Completed,182600036,2018-09-17 00:23:18,"2333 N 49TH ST,MKE",3,RETURN STATION,Assignment Completed,"2333 N 49TH ST,MILWAUKEE","{'lat': 43.061433, 'lng': -87.975516}",
104,182600011-Assignment Completed,182600011,2018-09-17 00:12:17,"749 W STATE ST,MKE",1,CONVEY PROPERTY,Assignment Completed,"749 W STATE ST,MILWAUKEE","{'lat': 43.042662, 'lng': -87.920879}",
105,182600050-Advised,182600050,2018-09-17 00:44:11,"1801 W OKLAHOMA AV,MKE",6,WELFARE CITIZEN,Advised,"1801 W OKLAHOMA AV, MILWAUKEE, WI","{'lat': 42.988077, 'lng': -87.936345}",
106,182600057-Service in Progress,182600057,2018-09-17 00:43:40,"2333 N 49TH ST,MKE",3,MED RUN,Service in Progress,"2333 N 49TH ST,MILWAUKEE","{'lat': 43.061433, 'lng': -87.975516}",
107,182600056-Advised,182600056,2018-09-17 00:43:31,"612 W WISCONSIN AV,MKE",1,TRBL W/SUBJ,Advised,"612 W WISCONSIN AV,MILWAUKEE","{'lat': 43.039122, 'lng': -87.919498}",
108,182600055-Advised,182600055,2018-09-17 00:41:44,"4100 W VILLARD AV,MKE",4,TRAFFIC STOP,Advised,"4100 W VILLARD AV, MILWAUKEE, WI","{'lat': 43.1118, 'lng': -87.963324}",
109,182600037-Unable to Locate Complainant,182600037,2018-09-17 00:31:22,"2258 S 17TH ST,MKE",2,CALL FOR POLICE,Unable to Locate Complainant,"2258 S 17TH ST, MILWAUKEE, WI","{'lat': 43.003401, 'lng': -87.934058}",
110,182600022-To be Filed,182600022,2018-09-17 00:15:45,"245 W LINCOLN AV,MKE",2,REPORTS,To be Filed,"245 W LINCOLN AV,MILWAUKEE","{'lat': 43.002354, 'lng': -87.913504}",
111,182600070-Service in Progress,182600070,2018-09-17 00:50:00,"245 W LINCOLN AV,MKE",2,REPORTS,Service in Progress,"245 W LINCOLN AV,MILWAUKEE","{'lat': 43.002354, 'lng': -87.913504}",
112,182600067-Advised,182600067,2018-09-17 00:49:28,"6930 W APPLETON AV,MKE",7,SUSP PERS/AUTO,Advised,"6930 W APPLETAV,MILWAUKEE","{'lat': 43.011264, 'lng': -87.958409}",
113,182592641-Service in Progress,182592641,2018-09-17 00:48:25,"1037 W WRIGHT ST,MKE",3,PROPERTY DAMAGE,Service in Progress,"1037 W WRIGHT ST, MILWAUKEE, WI","{'lat': 43.06378, 'lng': -87.92518}",
114,182600068-Service in Progress,182600068,2018-09-17 00:48:16,"N 40TH ST / W STARK ST,MKE",7,SHOTS FIRED,Service in Progress,"N 40TH ST & W STARK ST, MILWAUKEE, WI","{'lat': 43.106438, 'lng': -87.962699}",
115,182592693-Service in Progress,182592693,2018-09-17 00:48:01,"6967 W GLENBROOK RD,MKE",4,BATTERY,Service in Progress,"6967 W GLENBROOK RD, MILWAUKEE, WI","{'lat': 43.187298, 'lng': -87.996201}",
116,182600061-Service in Progress,182600061,2018-09-17 00:47:48,"4533 N 36TH ST,MKE",7,BATTERY DV,Service in Progress,"4533 N 36TH ST, MILWAUKEE, WI","{'lat': 43.09967, 'lng': -87.958293}",
117,182600066-Service in Progress,182600066,2018-09-17 00:47:36,"1931 S 14TH ST,MKE",2,INJ PERSON/SICK,Service in Progress,"1931 S 14TH ST, MILWAUKEE, WI","{'lat': 43.009327, 'lng': -87.929876}",
118,182600064-Advised,182600064,2018-09-17 00:46:52,"3266 S CHASE AV,MKE",6,TRAFFIC STOP,Advised,"3266 S CHASE AV, MILWAUKEE, WI","{'lat': 42.985023, 'lng': -87.908948}",
